-26.655   0.000   0.000
-26.541   0.000   0.000
-26.426   0.000   0.000
-26.312   0.000   0.000
-26.198   0.000   0.000
-26.084   0.000   0.000
-25.969   0.000   0.000
-25.855   0.000   0.000
-25.741   0.000   0.000
-25.627   0.000   0.000
-25.512   0.000   0.000
-25.398   0.000   0.000
-25.284   0.000   0.000
-25.170   0.000   0.000
-25.055   0.000   0.000
-24.941   0.000   0.000
-24.827   0.000   0.000
-24.713   0.000   0.000
-24.598   0.000   0.000
-24.484   0.001   0.000
-24.370   0.001   0.000
-24.256   0.001   0.000
-24.141   0.001   0.000
-24.027   0.001   0.000
-23.913   0.002   0.000
-23.799   0.002   0.000
-23.684   0.002   0.000
-23.570   0.002   0.000
-23.456   0.002   0.000
-23.342   0.002   0.000
-23.227   0.001   0.000
-23.113   0.000   0.000
-22.999   0.000   0.000
-22.885   0.000   0.000
-22.770   0.000   0.000
-22.656   0.000   0.000
-22.542   0.000   0.000
-22.428   0.000   0.000
-22.313   0.000   0.000
-22.199   0.000   0.000
-22.085   0.000   0.000
-21.971   0.000   0.000
-21.856   0.000   0.000
-21.742   0.000   0.000
-21.628   0.000   0.000
-21.514   0.000   0.000
-21.399   0.000   0.000
-21.285   0.000   0.000
-21.171   0.000   0.000
-21.056   0.000   0.000
-20.942   0.000   0.000
-20.828   0.000   0.000
-20.714   0.000   0.000
-20.599   0.000   0.000
-20.485   0.000   0.000
-20.371   0.000   0.000
-20.257   0.000   0.000
-20.142   0.000   0.000
-20.028   0.000   0.000
-19.914   0.000   0.000
-19.800   0.000   0.000
-19.686   0.000   0.000
-19.571   0.000   0.000
-19.457   0.000   0.000
-19.343   0.000   0.000
-19.228   0.000   0.000
-19.114   0.000   0.000
-19.000   0.000   0.000
-18.886   0.000   0.000
-18.771   0.000   0.000
-18.657   0.000   0.000
-18.543   0.000   0.000
-18.429   0.000   0.000
-18.314   0.000   0.000
-18.200   0.000   0.000
-18.086   0.000   0.000
-17.972   0.000   0.000
-17.857   0.000   0.000
-17.743   0.000   0.000
-17.629   0.000   0.000
-17.515   0.000   0.000
-17.400   0.000   0.000
-17.286   0.000   0.000
-17.172   0.000   0.000
-17.058   0.000   0.000
-16.943   0.000   0.000
-16.829   0.000   0.000
-16.715   0.000   0.000
-16.601   0.000   0.000
-16.486   0.000   0.000
-16.372   0.000   0.000
-16.258   0.000   0.000
-16.144   0.000   0.000
-16.029   0.000   0.000
-15.915   0.000   0.000
-15.801   0.000   0.000
-15.687   0.000   0.000
-15.572   0.000   0.000
-15.458   0.000   0.000
-15.344   0.000   0.000
-15.229   0.000   0.000
-15.115   0.000   0.000
-15.001   0.000   0.000
-14.887   0.000   0.000
-14.773   0.000   0.000
-14.658   0.000   0.000
-14.544   0.000   0.000
-14.430   0.000   0.000
-14.316   0.000   0.000
-14.201   0.000   0.000
-14.087   0.000   0.000
-13.973   0.000   0.000
-13.858   0.000   0.000
-13.744   0.000   0.000
-13.630   0.000   0.000
-13.516   0.000   0.000
-13.402   0.000   0.000
-13.287   0.000   0.000
-13.173   0.000   0.000
-13.059   0.000   0.000
-12.944   0.000   0.000
-12.830   0.000   0.000
-12.716   0.000   0.000
-12.602   0.000   0.000
-12.488   0.000   0.000
-12.373   0.000   0.000
-12.259   0.000   0.000
-12.145   0.000   0.000
-12.030   0.000   0.000
-11.916   0.000   0.000
-11.802   0.000   0.000
-11.688   0.001   0.000
-11.573   0.002   0.000
-11.459   0.003   0.001
-11.345   0.004   0.001
-11.231   0.005   0.001
-11.116   0.006   0.001
-11.002   0.008   0.002
-10.888   0.011   0.002
-10.774   0.013   0.002
-10.659   0.015   0.003
-10.545   0.018   0.003
-10.431   0.020   0.003
-10.317   0.023   0.004
-10.202   0.034   0.005
-10.088   0.045   0.005
 -9.974   0.057   0.006
 -9.860   0.073   0.007
 -9.745   0.095   0.008
 -9.631   0.118   0.009
 -9.517   0.144   0.011
 -9.403   0.184   0.013
 -9.288   0.876   0.041
 -9.174   0.534   0.025
 -9.060   0.270   0.013
 -8.946   0.263   0.013
 -8.831   0.253   0.012
 -8.717   0.240   0.011
 -8.603   0.105   0.005
 -8.489   0.216   0.005
 -8.374   0.344   0.007
 -8.260   0.481   0.010
 -8.146   0.984   0.021
 -8.031   0.636   0.015
 -7.917   0.536   0.013
 -7.803   1.145   0.029
 -7.689   0.009   0.001
 -7.574   0.024   0.001
 -7.460   0.038   0.002
 -7.346   0.052   0.003
 -7.232   0.066   0.003
 -7.117   0.081   0.004
 -7.003   0.103   0.006
 -6.889   0.127   0.007
 -6.775   0.154   0.009
 -6.660   0.181   0.011
 -6.546   0.359   0.017
 -6.432   0.400   0.019
 -6.318   0.426   0.021
 -6.203   0.808   0.031
 -6.089   0.657   0.036
 -5.975   0.046   0.009
 -5.861   0.043   0.008
 -5.746   0.385   0.018
 -5.632   0.554   0.023
 -5.518   0.610   0.024
 -5.404   0.721   0.026
 -5.289   0.705   0.030
 -5.175   0.855   0.042
 -5.061   0.859   0.050
