X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
662.649,752.5,753.75,752.875,753.625,754.75,752.5,756.625,757,758.625,759.25,756,757,756.5,752.625,754,752.75,752.375,752.625,754.125,756.5,755,753.875,755,753.75,756.625
662.918,752,753.25,756.625,753.625,754.375,756,756.125,759.5,757.75,757.75,755.667,754.875,754,754,753.25,752.875,751.75,757.375,756.125,754.375,755.25,756,755.25,756.875,756.625
663.188,757.875,753.438,758.125,753.5,756.75,756.75,760,759.063,758.625,760.25,755.333,759.125,756.125,753.375,755.125,758.5,757.25,758.375,758.25,756.75,755.313,758.25,755.313,756.875,759.5
663.458,754.75,753.625,756.75,753.125,754.125,758.375,757,758.625,755.75,756.625,755,751.875,757.5,752.75,754.063,754.875,753.25,755.625,756.25,755.625,755.375,754.625,755.375,754.625,756
663.728,756.25,755.75,753.125,753.188,755.25,755.75,757,758.25,760,757.375,756.125,755,758.375,754.625,753,756.375,754.125,758.375,754.875,754,754.625,755.625,754.625,753.5,753
663.998,756,755,752.875,753.25,755.75,756.25,758.125,754.625,759.125,755.75,756.75,753.625,752.875,755,753.375,752.75,754.5,755.625,754.125,755.75,754.5,757.75,754.5,756,754.375
664.267,759.25,755.875,759.375,753.25,760.875,763.375,763.5,762.375,759.688,765.125,756.792,764.625,760.625,754.5,758.75,756.5,758.75,758.75,762.625,755.313,756.125,761.375,756.125,758.875,755.375
664.537,756.125,756.75,755.5,753.25,757.875,757,756.625,758.875,760.25,758.75,756.833,755.625,757.125,754,756.375,754.5,756.5,757.75,756.625,754.875,757.75,755.75,757.75,754.125,756.375
664.807,754.75,757.375,754.5,754.25,753.625,755.25,757.25,756.875,761.75,757.875,756.875,759.625,756.875,754.625,756.125,755.75,754.5,757.25,757.875,757.25,758.875,757.375,758.875,754.125,752.875
665.076,757.875,756.25,753.875,755.375,757.5,759,759.625,759.5,759.75,760,756.75,758,757.75,754.625,756.625,756.375,756.125,757.875,756.875,760.75,758.75,756.75,758.75,753.75,757.25
665.346,753.5,755.75,753.5,756.5,755.25,755.5,760.375,760,757.375,761.875,758.25,757,757.875,754.625,752.25,753,756.125,754.25,759,757.625,757,757.25,757,755.75,757.25
665.616,753.125,754.375,754,755.125,754.5,758.125,757,760.125,756.625,758.75,754.25,753.75,753.125,753.375,752.625,753.5,753.75,755.25,758.5,758.125,756.125,754.625,756.125,756.625,753.375
665.886,755.625,755,754.625,755.188,758.5,761.125,761.125,761,756.875,760.625,757.375,757,754.5,753.375,756,756.25,759.5,760.25,762,758.25,756.75,758.5,756.75,756.875,757.5
666.155,754.5,752,756,755.25,755.75,759.875,756.75,755,757.125,758,756.125,756.75,754.5,753.375,754.125,756,759.5,758.25,758.375,758.375,756.875,758.125,756.875,756.25,755.813
666.425,754.875,757.5,756.25,753.875,757.625,757.5,758.5,758.75,759.375,756.625,757.063,755.625,753.75,753.125,756.625,754.25,754.875,756.375,757.25,760.625,757.875,755.625,757.875,758.5,754.125
666.695,756.25,760.125,757.375,756.5,756.125,758.875,759.25,759.125,758.875,756.875,758,756,755.875,755.75,758,755.625,756.375,757,757.625,760.25,754.25,756,754.25,756.125,754.25
666.965,759.75,759.25,758.5,757.25,758.625,758.625,758.625,762.125,759.5,759.625,756.625,758.375,759.875,758.25,758.125,757.375,756,760.125,759.375,758.25,757,757.375,757,758.5,757.5
667.234,759.625,758.5,759.5,758,758.25,760.5,761,760.875,760.75,758.875,758.5,760.5,759.125,759.875,759.125,757.5,759.5,758.25,757.875,760.625,756.5,757.625,756.5,756.75,756.875
667.504,758.125,756.25,755,758.75,756.875,757.25,759,761.75,758.375,759.25,755.875,755.625,754.75,758.125,756.375,757.25,759.5,757.75,757.625,759.625,755.75,758.25,755.75,756.625,757.125
667.774,757.5,755.75,756,755.75,755.75,758,756.75,759.75,761.5,757.75,757.5,754.125,754,755.125,753.375,755.625,755.25,757.875,760,758.75,756.75,756.75,756.75,752.125,756.5
668.043,756,755.5,757,757.25,759.25,757.5,761.625,760.75,762.25,757.75,757.125,758,758.625,756.125,756.5,759.375,758.125,758.25,759.125,759,758.125,760,758.125,754.25,756.875
668.313,754.5,752.875,752.625,751.375,754.25,755.625,756.875,757,757.25,754.125,757.25,755,752.25,751.25,754.125,751.125,756.125,757.75,758.75,759.25,754.5,759.375,754.5,752.5,754.75
668.583,754.875,753.125,755.375,754.375,758.375,756.25,758.125,759.25,758.125,759.25,757,754.25,755.75,755.125,756.875,755,757.5,757.375,759.625,760.375,754.375,759.625,754.375,758.375,753.125
668.853,754.25,752.5,755,756.25,755.125,756.625,758.5,759.125,759,757.625,754,756,753.875,755.875,753.625,755.875,754.875,755.375,759.75,760.25,754.25,756.375,754.25,753.5,753.25
669.122,753,751.625,751,754,755.875,757.375,756.75,757.25,757.5,755.75,755,755.5,753.625,753.75,751.625,755.125,756.25,756.25,757.25,759.5,753.25,752.375,753.25,753,753.875
669.392,756.375,752.75,759.125,753.125,759.25,760.875,762.375,757.938,760.75,762.25,756.063,759.125,757.5,756.125,752.75,757,758.125,756.75,759.25,759.063,753.25,759.375,753.25,758.75,753
669.662,753.875,753.875,753.625,752.25,756,755.875,756.5,758.625,759.875,754.5,757.125,751,751.25,750.625,753.875,754.375,757.25,756.75,759,758.625,754.625,757.375,754.625,752.875,752.125
669.931,750.5,752.25,754.875,754.125,755.875,757.125,755.875,757.25,757.5,756,754,752,753,749.375,753.25,755.875,756.375,754.5,758.25,758.625,754.375,756.75,754.375,754.875,750.625
670.201,757.875,756.875,757.5,754.5,758.625,759.75,761.625,757.208,759,761.125,758.25,758.375,757.25,755.375,753.292,759.625,762.5,760,763.25,765,759.875,760.25,759.875,756.125,756.25
670.471,770.5,756,770.5,754.875,767.875,771,772,757.167,758.75,771.5,758.063,769.375,769.25,755,753.333,766.5,773.625,772.125,773.625,763.438,758.5,772.125,758.5,771.875,756.313
670.74,754.75,755.125,756.625,755.25,757.125,757.75,758.5,757.125,758.5,756.5,757.875,754.5,755.5,754.625,753.375,755.5,755.25,756.75,756.625,761.875,757.125,758.75,757.125,755.125,756.375
671.01,755.375,757,757.25,755.125,759,759.75,759.625,760.625,758.813,760.125,754.375,757.125,756.75,755.25,757.25,757.125,761.5,762.25,760.125,761.25,759.125,760,759.125,757,758
671.28,754.375,753.625,753.5,754,755.875,755.875,761.25,756.75,759.125,756,759.625,757.375,753.875,753.875,755,753.625,755.5,758.75,756.5,760.5,756.375,758.375,756.375,755,753.125
671.549,756.125,753.563,757,757,757.25,758.875,759.875,760.375,759.375,759.25,757.563,755.5,753.125,755.625,752.75,758.375,756.875,756.875,759.125,758.5,758.5,758.875,758.5,759.125,751.813
671.819,754.375,753.5,751.5,754.875,756,756.375,757.875,758.75,756.25,756.25,755.5,756.625,753.625,754.125,753.5,752.875,753.875,756,757.75,758.5,757.75,757.375,757.75,753.125,750.5
672.089,752.125,754.75,751.125,752.75,753.375,755.75,756.75,758.5,754.625,756.75,754.125,754.25,753.375,752.875,753.375,755.625,755.25,754.75,757.625,757.125,757,757,757,755.25,753.75
672.358,753.25,753.375,754.375,753.25,755.25,757.875,757.625,757.5,757.125,755.625,756.125,756.25,753.625,752.5,753.75,755.5,758,759.25,759.375,756.625,755.75,758.375,755.75,755.375,754
672.628,755.25,755.75,755.5,755.625,758.75,757.5,758.375,758.375,759.25,759.125,757.875,755.375,756,752.333,753.438,755.75,755.875,759.375,759.5,758.875,756.125,759.875,756.125,756.5,755.063
672.898,754.25,753.125,752.375,755.625,754.5,756,755.125,759.25,757.625,756.375,756.75,753.125,756.25,752.167,753.125,756.625,755.375,756.625,757.25,758.938,755.375,757.75,755.375,752.75,756.125
673.167,755.125,754.5,755.625,755.375,756.375,758.125,757.875,758.875,759.5,755,754.75,753.75,753.125,752,753.75,755.75,755.125,756,759.25,759,757.75,753.25,757.75,755.625,754.5
673.437,751.25,751,755,753.25,756.5,754.625,758.125,754.75,756.125,758,753.625,756.25,755.625,753.125,752.5,754.25,757.375,755.25,757.875,757.625,756.5,758,756.5,754.625,756.25
673.707,756,756.5,756.75,756.375,755,758.125,759.25,759.5,757.75,760.25,753.75,757,757.375,754.75,755.25,758.625,756.125,759.5,760.25,761.375,757.625,760.875,757.625,755.875,755.75
673.976,756.125,756,757.125,756.75,754.5,757.25,759.375,756.5,759.25,758.75,759.375,755.5,753.5,754.25,753.625,756.75,757.875,757.125,759.625,760.25,756.25,757.375,756.25,757.625,755.25
674.246,760.25,755.375,764.375,756.125,760.875,760.125,761.375,756.313,762.125,765.125,762.375,762.625,762.5,753.813,754.063,761.625,763.5,760,766.5,758.875,757.063,766.375,757.063,764.5,759.375
674.515,756.25,754.75,756.125,755.5,755.25,759.875,760.75,756.125,760.75,757.5,757.125,756.625,755.625,753.375,754.5,756.25,758.25,757.5,756.625,757.5,757.875,757.625,757.875,755,757.688
674.785,760.125,754.625,757.625,756.875,759.5,758.625,760.875,756.208,761.375,758.875,757.875,757.875,758.75,752.938,757.5,756.875,760,760.875,760,762.75,760.5,759.375,760.5,758.5,756
675.055,753.125,754.5,752.5,753.75,753.125,753.625,755.25,756.292,757.125,756.375,754.25,755,753.25,752.5,751.25,754,756.375,755.375,755.875,757.875,755.375,755.125,755.375,754.125,754.375
675.324,755.5,753.125,754.375,751.5,754,753.625,755.125,756.375,753.875,756.125,754.75,751.375,751.875,754.75,751.375,752.875,750.375,755.5,754.375,752.75,754.75,756.25,754.75,756.625,754.25
675.594,755.25,754.875,755.75,753.625,755.75,757.25,757.5,755.875,753.875,753,755.75,752.875,754.875,798.25,751.292,754,754,753.5,753.875,757.25,754.792,757.125,754.792,754.625,752.625
675.863,756.5,754.375,753.625,752.625,757.5,755.75,758.875,754.938,754.938,759,758.625,759,756.625,794.375,751.208,758.5,759.25,757.875,761.875,757.75,754.833,761.5,754.833,756.75,752.625
676.133,752.375,753.875,752.875,751.625,754.375,753.125,751.75,754,756,753.25,752.625,753.875,753.125,790.5,751.125,751.125,753.625,752.75,754.125,755.375,754.875,756.75,754.875,755.125,752.625
676.403,758,756.75,755.375,756,755.625,757.375,761.25,757.5,755.75,755.25,758,755.125,757.875,755.625,755.5,755,756,758,757.125,758.25,758.375,760.375,758.375,756.75,757
676.672,755.125,753.875,752.375,754,752.75,754.875,756.375,757.875,755.688,757.625,757.75,758.5,754.5,753.125,754.5,753.625,754.875,757,756.875,755.375,757.188,759.25,757.188,756.625,757
676.942,754.375,755.75,753.625,752,756.625,755.125,754,754.125,755.625,756.375,752.25,755.75,754,752.875,754.25,754.625,754.875,751.75,756,756.75,756,757,756,756.375,756.125
677.212,753.5,754.125,756.5,752.25,752.375,753.375,755.75,756.5,755.25,756,755.75,753.625,754.5,753.25,753.625,753.875,753.25,756.375,753.75,758,755.875,758.25,755.875,756.375,752.125
677.481,754.75,755.25,753,750,754.75,754,755.625,756.75,756.5,756.75,753.5,754.25,752,754.625,754.063,753.25,753.375,752.875,758.5,758,752.625,755.875,752.625,757.625,756.625
677.751,755,753.25,753.125,754.625,754.125,755.375,756,759.125,755.625,755.5,753.563,757,755.625,754.188,754.5,752.625,756.25,756.625,756.25,757.625,755.25,756,755.25,758.5,756.625
678.02,754.125,753,749.375,753.5,749.5,751.5,753.375,753.25,753.875,754.5,753.625,752.5,754,753.75,754.125,752,752.375,751.125,752.75,755.75,756.5,756.125,756.5,753.375,754.5
678.29,756.25,753.063,755.75,755.875,754.375,755,754.75,754.625,757.5,754.875,753,754.25,756.75,753.75,754.25,752.5,755.375,751.375,755.5,753.875,755,758.875,755,755.5,754.875
678.559,754.125,753.125,755.75,753.625,755.5,756.125,757.625,753.688,757,759.125,753.688,753.625,756,754.5,754.375,756.875,755.5,753.125,757,754.875,757.5,758,757.5,757.75,755
678.829,756.5,754.75,754.125,751.75,755,756,756.125,752.75,752.625,756.875,754.375,753.625,756.875,754.563,755.75,753.125,755,757.875,755.25,755.875,757.125,754.25,757.125,755.875,755
679.099,755.75,755.625,752.625,753.5,755.625,755.125,754.875,753.625,754.875,757.5,754.625,754.875,755.75,754.625,755.125,753.25,755.25,753,753.375,755.375,758.875,756.625,758.875,757,755
679.368,758.25,755.5,755.75,753,753,751.875,753.75,754.75,756.25,755,754.625,756,756.875,757,754.625,757.25,754.5,753.625,755,755.25,756.125,755.625,756.125,753.75,756.5
679.638,754.375,756,755.75,752.5,752.875,756.375,754.5,756.875,753.125,754.875,754.625,757.125,753.625,753.625,755,752.875,750.5,755.5,756.25,756,757.5,755.5,757.5,755.5,756.5
679.907,755.125,753.125,755.5,751.75,754.75,753.875,754.5,757.375,755.25,755.125,755.375,755,755.625,755.5,755.25,752.5,753.5,754.625,758.75,755.75,755.75,756.75,755.75,757.875,758.125
680.177,755.75,754,753.5,753.938,753.5,752.375,753.5,755.25,754.875,757,756.063,754.625,753.375,755.25,755.5,755.375,753,749.625,755.625,754.25,754.5,753.25,754.5,755.25,754
680.446,758.75,756.75,757.5,756.125,751.875,756.5,756.875,757.5,755.875,758.25,756.75,757,758.375,755.625,755.125,753.5,755.25,754.75,756.625,755.625,754.938,757.375,754.938,758.125,754
680.716,757.375,755.25,757.5,752.75,753.125,753,754.25,752.5,753,753.75,753.5,754.625,753.25,753,753.5,754,753.25,750.375,754.375,752.375,755.375,755.75,755.375,757,754.75
680.985,754.375,757.375,755.125,755.25,754,754.25,755.75,753.125,755,758.875,756.125,756.25,758.25,758,756.625,756.375,753.5,754.5,755,754.5,755.625,757.25,755.625,759.625,755.042
681.255,757.625,755.563,755.75,753.625,754.875,755.875,756.125,751.375,754.125,756.875,755.125,757.5,757.75,755.375,754.563,755.5,757.125,758,757.625,753.313,755.813,758.125,755.813,759.125,755.333
681.525,754.375,753.75,752,752,752.5,749.75,752.875,749.625,753.25,755.75,754.125,757.75,752.5,752.75,752.5,754.5,750.625,750.375,750.375,752.125,756,759.375,756,755.375,755.625
681.794,756.5,756,754.5,751.125,754.125,756.375,753.875,752.875,754.625,757.625,755.25,757.875,755.875,751.625,752.625,753.875,757,754.25,755.375,754.625,755.875,755.25,755.875,760.125,755.5
682.064,751.125,751,751.25,749.625,751.25,748.25,748.5,751.5,752.375,752.125,751.5,754.25,751.25,751.875,752,749.875,748.875,748.875,748.375,750.375,755.75,752.875,755.75,753.375,752.875
