X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
1.3248,757.375,757.5,756.75,758.25,754.25,755.125,755.25,757,758.25,758.375,757.625,763,759,759.125,763.25,762.5,763.5,762.25,766.375,765.5,763.875,760.75,760.5,756.125,754.25
1.32517,757.875,755.75,757.5,756.125,753.375,755.125,755.875,755.875,757.875,758.75,759.5,762.125,763.375,760.375,760.375,764.375,763.625,760.625,767.25,764.625,766.5,762.625,762,761.125,756.875
1.32554,758.375,760,758.875,761.25,760.125,756.375,755.688,756.813,757.875,760.625,760.625,763.25,766.5,767.75,762.125,770.25,763.042,769,770.25,764.375,767,762,761.625,761.5,757.563
1.32592,756.625,754.25,752.5,757.25,755.5,753.875,755.5,757.75,757.875,761.125,757.875,761.125,764.125,762.125,763.875,763.375,762.458,764.75,765.125,764.125,766.75,761.375,761.25,758.5,758.25
1.32629,756.5,757,756.25,754.125,755.125,755,754.75,759.75,759.625,759.125,762,764.375,761.25,764.875,766.125,762.75,761.875,765.125,762.125,762.125,761,761.75,760.25,761.25,756.125
1.32666,755.125,758.25,755.75,757.375,752.125,754.5,754.375,757.875,756.625,762.875,761.375,760,763,765.25,762.625,763.125,762.125,762.5,759.125,762.25,761.375,762.125,758.5,759.625,757.5
1.32704,756.938,760.625,765.625,763.5,759.375,755,755.688,757.313,758.5,765.75,766.75,765.875,766.25,770.625,763,771.625,762.125,766.375,759.375,762.688,760.938,762.875,760.438,764.625,764.25
1.32741,758.75,758.75,756.875,755.625,757.375,755.5,757,756.75,760.375,761.625,763.25,762.125,762.5,769.125,763.375,761.5,762.125,763.125,759.625,763.125,760.5,763.625,762.375,762.5,761.75
1.32779,758,757.375,756.25,757,754.75,753.875,754.875,754.75,759.25,759.625,762.5,759.625,764.625,763.375,763.25,758.75,759.125,760.75,759.875,762.5,762.75,765.625,760,762,763.5
1.32816,759.375,760,758.625,756.75,756,754.313,756.75,755.625,757.375,763,764.375,762,764.25,766.875,762.917,764.75,760.5,759.75,759.375,760.125,762.375,764.625,763.75,764.125,760.75
1.32854,757,758.5,759,756.75,753.875,754.75,756.5,754.875,755.5,761.75,762.75,762.625,761.25,764.875,762.583,761.625,761.5,760.75,759.188,759.563,762.25,760.625,761.375,763.875,758.875
1.32891,756.25,758,757,753.25,756.875,754.125,752.125,755.625,759.625,759,763.25,761.75,763.125,763.25,762.25,760.5,758.625,758.875,759,759,760,759.5,759.375,758.75,758.875
1.32929,756.563,755.625,756.625,752.375,755.125,755.5,755.75,755.375,757.563,760.25,760,763.75,765.25,765.125,762.5,759.875,760.625,760,758.875,759.625,762.125,760.75,760.563,761.25,758.125
1.32966,756.875,757.75,756.25,757.875,755.125,751.875,756.75,755.125,755.5,763,760.125,762.5,763.25,763.75,761.063,762.5,760.375,761,760.125,758.563,760.625,760.5,761.75,762.5,758.125
1.33004,758.375,756,757.5,756.5,753.125,753.5,754.125,754.375,756,755.375,761.875,759.5,766.875,760.625,759.625,759.125,760.375,760.625,760.625,757.5,762.625,760.25,761.125,761.25,758.125
1.33041,757.875,756.25,757.875,757.125,754.75,754.25,755.25,756,756.125,758.375,761.5,763.25,760.875,762.625,764.375,763.125,767,763.5,763.375,759.375,760.75,762.875,761,762.5,758.438
1.33079,758,757.5,755.875,755.625,756.375,757,754.625,755.625,756.25,758.75,757.875,761.375,764.75,766.25,762.875,765.875,763.625,765.625,765.875,760.25,758.625,757.75,760.875,759.375,758.75
1.33117,757.938,758,757.75,757.75,758.375,759.75,754.375,754.25,755.875,757.75,761,764,763.625,766.25,766.875,763.5,766.875,767.25,763.125,761.125,758.938,762.75,762.75,762,758.875
1.33154,757.875,758.25,756,755.25,755.125,753.375,754.125,752.875,757.625,758.125,761.375,760.625,763.375,766.75,766.125,762.25,758.125,760,757.625,755.875,759.25,759.5,760.125,760.125,759
1.33192,760.625,758.25,756.75,754,755.75,753.063,755.625,753.75,754.875,759.25,761.375,765.375,762.875,766,764.875,762.375,760.125,758.25,758.25,757.625,759,763.5,761.625,761.625,758.875
1.3323,760.875,757.5,754.625,757.375,756.125,752.75,754.625,754,756.375,757.5,765.125,765.125,763.75,765.625,763.875,762.625,759.5,760.125,755.5,757.125,759.625,763.875,765.875,762.5,761.375
1.33267,758.375,754,753.625,750.625,753.625,753.375,751.25,752.625,754.25,762.875,759.75,763.125,761.5,763,759.75,758.125,756.25,757.625,755.75,754.875,757,761.375,762.875,757.5,755.625
1.33305,757.75,758.375,751.875,753.875,752.5,755,751.063,752.063,756.5,760,760.75,764.375,768,767.25,764.25,760.75,757.25,755.25,757.375,757.25,756.625,759.25,764.25,760.375,759.5
1.33343,757.125,757.375,753.875,753,753.375,753.75,750.875,751.5,755.75,756,759.125,763.375,762.875,765.75,761.875,758.125,755.625,756.875,760,759.25,756.25,758.75,760.5,760.5,758.75
1.33381,757.125,755.375,755.125,752.125,754,750.5,751.75,752.125,752.5,756.625,758.25,757.875,762.5,762.375,756.5,753.875,752.75,750.375,754,755.375,757.75,759.5,759,756.375,757.5
1.33418,759.125,758.25,757,756.75,756.125,750.313,752.125,752,753.5,761.25,762.5,764.125,761.125,766,761.125,762.5,753.563,759.125,753.938,754.188,758.5,759.75,759.063,757.75,758.375
1.33456,756.25,753.5,753.625,752.875,750.125,750.125,752.5,751.875,754.5,760.25,758.75,760.375,758.5,762.5,757.75,755.125,754.375,754.875,753.875,753,761,760,759.125,759.125,758.188
