X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,103 pts LE smooth of B,103 pts LE smooth of C,103 pts LE smooth of D,103 pts LE smooth of E,103 pts LE smooth of F,103 pts LE smooth of G,103 pts LE smooth of H,103 pts LE smooth of I,103 pts LE smooth of J,103 pts LE smooth of K,103 pts LE smooth of L,103 pts LE smooth of M,103 pts LE smooth of N,103 pts LW smooth of O,103 pts LE smooth of P,103 pts LE smooth of Q,103 pts LE smooth of R,103 pts LE smooth of S,103 pts LE smooth of T,103 pts LE smooth of U,103 pts LE smooth of V,103 pts LE smooth of W,103 pts LE smooth of X,103 pts LE smooth of Y,103 pts LE smooth of Z
666.155,754.5,752,756,755.25,755.75,759.875,756.75,755,757.125,758,756.125,756.75,754.5,753.375,754.125,756,759.5,758.25,758.375,758.375,756.875,758.125,756.875,756.25,755.813,755.70211593005,755.080465324508,755.743615345919,754.698644110427,756.735993510585,757.911235006045,758.923804990232,758.967362094329,758.944332749331,758.758396234868,756.544052441594,756.579324475523,756.074605230546,754.82965272833,754.849726762642,755.709811193718,756.546314342838,757.6016126977,758.411282434229,758.268958690823,756.209039702493,757.52927832913,756.209039702493,755.717883600245,755.425485103358
666.425,754.875,757.5,756.25,753.875,757.625,757.5,758.5,758.75,759.375,756.625,757.063,755.625,753.75,753.125,756.625,754.25,754.875,756.375,757.25,760.625,757.875,755.625,757.875,758.5,754.125,755.709696517058,755.058605903867,755.754912573554,754.719011550344,756.764183836505,757.94404628131,758.963115140117,758.947100629618,758.926183776636,758.730065470128,756.540165977019,756.550605183478,756.039858393657,754.878318089284,754.813942941379,755.758345848166,756.636426730387,757.64456923731,758.49918803118,758.379820540995,756.226357438217,757.616138829597,756.226357438217,755.649800571408,755.388246782331
666.695,756.25,760.125,757.375,756.5,756.125,758.875,759.25,759.125,758.875,756.875,758,756,755.875,755.75,758,755.625,756.375,757,757.625,760.25,754.25,756,754.25,756.125,754.25,755.716666236644,755.037180568396,755.764398586156,754.737045161646,756.788350121476,757.971856847939,758.997176310844,758.923623523898,758.905159490143,758.700570739743,756.534776955834,756.52196304822,756.005874796892,754.926315087142,754.778758428599,755.803062144595,756.720159439901,757.682255317079,758.580340954115,758.482912070157,756.24283576854,757.698605928876,756.24283576854,755.584105140857,755.352570224221
666.965,759.75,759.25,758.5,757.25,758.625,758.625,758.625,762.125,759.5,759.625,756.625,758.375,759.875,758.25,758.125,757.375,756,760.125,759.375,758.25,757,757.375,757,758.5,757.5,755.723045759846,755.01619509295,755.772106545477,754.75277972759,756.808535824835,757.994700957866,759.026015438939,758.896959448787,758.881294723984,758.669918840884,756.527911499906,756.493417991284,755.972656946958,754.973626118011,754.744187471859,755.843996057032,756.797570059332,757.714709003847,758.654786369297,758.57830257932,756.258468548592,757.776699206573,756.258468548592,755.520877214207,755.318432336744
667.234,759.625,758.5,759.5,758,758.25,760.5,761,760.875,760.75,758.875,758.5,760.5,759.125,759.875,759.125,757.5,759.5,758.25,757.875,760.625,756.5,757.625,756.5,756.75,756.875,755.728832603192,754.995720919974,755.778048689879,754.76620071213,756.824731715376,758.012553912868,759.04958208889,758.867251621373,758.85472850218,758.638239039929,756.51962748936,756.465095085268,755.940326031913,755.020060759832,754.710361513452,755.881053820014,756.868465181526,757.741878365453,758.722332077279,758.665747858673,756.273197381836,757.850176692868,756.273197381836,755.460416412538,755.285928466734
667.504,758.125,756.25,755,758.75,756.875,757.25,759,761.75,758.375,759.25,755.875,755.625,754.75,758.125,756.375,757.25,759.5,757.75,757.625,759.625,755.75,758.25,755.75,756.625,757.125,755.734081066874,754.975592422253,755.782296429852,754.777433637869,756.837100016946,758.025578616954,759.068079508506,758.834301361111,758.825297693577,758.605305092654,756.509886585165,756.436800712071,755.908639537,755.06594015031,754.677027467096,755.914546957187,756.933430540801,757.764003403434,758.783526797658,758.745963665305,756.287125846491,757.919609984055,756.287125846491,755.402350886721,755.254791514845
667.774,757.5,755.75,756,755.75,755.75,758,756.75,759.75,761.5,757.75,757.5,754.125,754,755.125,753.375,755.625,755.25,757.875,760,758.75,756.75,756.75,756.75,752.125,756.5,755.738772465149,754.95586459154,755.78484752945,754.786443432008,756.845613319184,758.033726390071,759.081437400904,758.798230776408,758.793128778066,758.571241791666,756.498738142576,756.408652613142,755.877712901408,755.111059236028,754.644301365886,755.944365321668,756.992246593513,757.781011371849,758.838154983302,758.818673948573,756.300190938272,757.984744888092,756.300190938272,755.346987188969,755.225116358088
668.043,756,755.5,757,757.25,759.25,757.5,761.625,760.75,762.25,757.75,757.125,758,758.625,756.125,756.5,759.375,758.125,758.25,759.125,759,758.125,760,758.125,754.25,756.875,755.742890199975,754.936580191603,755.78572436286,754.79322046661,756.850300987536,758.03701969729,759.08966220132,758.759202955365,758.75838823844,758.536190569185,756.486251853707,756.380765995397,755.847650838716,755.155219186355,754.612283721149,755.970452050955,757.044781493329,757.792905888809,758.886099598218,758.883711490888,756.312342373839,758.045392263407,756.312342373839,755.294592375159,755.196972865885
668.313,754.5,752.875,752.625,751.375,754.25,755.625,756.875,757,757.25,754.125,757.25,755,752.25,751.25,754.125,751.125,756.125,757.75,758.75,759.25,754.5,759.375,754.5,752.5,754.75,755.74645734076,754.917562149324,755.784955242022,754.797820970742,756.851237782268,758.035507807301,759.09284484597,758.716935774935,758.720846489884,758.499901158403,756.472354060682,756.352946768312,755.818225530598,755.198710217594,754.580715145389,755.993033909677,757.091477923466,757.799814257077,758.92776537913,758.941619119283,756.323662603005,758.102033483569,756.323662603005,755.244858585669,755.170116556137
668.583,754.875,753.125,755.375,754.375,758.375,756.25,758.125,759.25,758.125,759.25,757,754.25,755.75,755.125,756.875,755,757.5,757.375,759.625,760.375,754.375,759.625,754.375,758.375,753.125,755.749446529471,754.898844333029,755.782554689824,754.800216196133,756.848437366926,758.029194267371,759.090974328103,758.67157246187,758.680652015462,758.462514909397,756.457106075518,756.325310846846,755.789544242513,755.241327359349,754.549688329763,756.01203810235,757.132180237353,757.801722013023,758.963009941134,758.992199128725,756.334094894651,758.154465144675,756.334094894651,755.198071734107,755.144616177138
668.853,754.25,752.5,755,756.25,755.125,756.625,758.5,759.125,759,757.625,754,756,753.875,755.875,753.625,755.875,754.875,755.375,759.75,760.25,754.25,756.375,754.25,753.5,753.25,755.751845155629,754.880386327551,755.778546240705,754.80040616942,756.841939046001,758.018105857288,759.084082116017,758.623115500748,758.637829025166,758.42405057323,756.440523322251,756.297871088038,755.761604118472,755.283033898463,754.51917041873,756.027500206721,757.166938862803,757.798668864493,758.991880909585,759.035506819894,756.34363078787,758.202716066537,756.34363078787,755.154321565705,755.120432481739
669.122,753,751.625,751,754,755.875,757.375,756.75,757.25,757.5,755.75,755,755.5,753.625,753.75,751.625,755.125,756.25,756.25,757.25,759.5,753.25,752.375,753.25,753,753.875,755.753633859766,754.862213984137,755.772978314879,754.798399983287,756.831825378513,758.002338872705,759.072255376979,758.57176109126,758.59257475581,758.384677172258,756.422688724825,756.270743090828,755.734503566799,755.323644109994,754.489231748349,756.039420963809,757.195707360084,757.790734721032,759.014352711921,759.07147287339,756.352234623047,758.246658765334,756.352234623047,755.113841358751,755.097610548089
