X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
1.78932,757.192907715745,759.309951971805,758.916604401643,761.760469613449,760.449702476745,759.959437530853,759.762137216617,758.960638852922,760.802164420917,758.411659626427,759.070436861294,758.328737524698,759.951559519815,759.59412606381,756.721588158584,759.020041125739,757.275967585244,754.736471127013,754.403666757225,754.74877109399,753.011929989685,753.948546820975,755.441041778231,755.99918352529,760.155255434872
1.78863,757.369159420174,759.47301398253,759.134749741061,761.898494582916,760.60611282631,760.138603159504,760.052089422142,759.309283916479,760.967999917232,758.709393829857,759.33270424971,758.622372196834,760.155537486185,759.724394863763,756.908089518906,759.080938836158,757.382170071102,754.926793107366,754.609560480754,754.927303855479,753.275137783147,754.173797365378,755.732158925412,756.249534671336,760.290009562298
1.78793,757.547459602431,759.637959459526,759.354569675475,762.037713334103,760.764015634704,760.319963462378,760.343060703733,759.659537358836,761.13887613312,759.006996243784,759.597154331832,758.916607480105,760.359652416318,759.855817908262,757.094616737053,759.142497338897,757.488748626825,755.116520335997,754.813821013603,755.105543584268,753.537503395181,754.400969388506,756.023615117393,756.500779423549,760.426687934441
1.78724,757.722715946875,759.800111609161,759.569817865134,762.174170783146,760.918943191605,760.49834636082,760.626756471996,760.001405521446,761.309797418916,759.296002414964,759.856214435957,759.203056640434,760.558093482886,759.984686575839,757.27587987718,759.202981467561,757.592658682785,755.300253426928,755.010659914564,755.278424806754,753.791569935158,754.62354746058,756.307089523346,756.745765628959,760.561394257408
1.78655,757.897473837874,759.961864332709,759.78367278948,762.309884896356,761.073187443631,760.676347019328,760.907365687177,760.339919703983,761.48306109878,759.580738943235,760.113648902558,759.485965308241,760.753812439956,760.11292336028,757.454606745245,759.263294867979,757.695432257559,755.480744466058,755.203074273037,755.44853816594,754.041161008479,754.844764904349,756.586774766882,756.988131705787,760.696085995588
1.78585,758.074248176869,760.125589028831,759.999237504354,762.446836509435,761.22900741003,760.856537343194,761.188900762929,760.679918486331,761.66110616584,759.86529632793,760.373130519406,759.769383997172,760.949607873023,760.242416398567,757.633378946439,759.324337068101,757.798531083303,755.660566891282,755.39381619335,755.618322739335,754.28984482523,755.067781003271,756.866646971994,757.231368920009,760.832721198912
1.78516,758.247981864826,760.286642781243,760.210385836742,762.581150850699,761.381990500103,761.033771098204,761.463336041617,761.011703478467,761.838729598037,760.141608116159,760.627226525467,760.04524324009,761.139915149913,760.369513552193,757.807139424462,759.384402871767,757.899004066219,755.834618195581,755.577504552287,755.782967212964,754.53057079818,755.286211501797,757.138727305926,757.468569213649,760.967400140341
1.78447,758.421198306672,760.447397902161,760.420233276606,762.714827712844,761.53440163282,761.210627733074,761.734741250141,761.340179137499,762.018359360308,760.413839082565,760.879633148808,760.317642311896,761.327587300569,760.49612017215,757.978508453899,759.444400188497,757.998329727903,756.005530012654,755.756968744158,755.944959232156,754.766974706093,755.503240455078,757.407067043497,757.703274681406,761.102074871486
1.78378,758.593892855845,760.607873863034,760.628795489077,762.847897681653,761.686264617007,761.387107004418,762.003140715821,761.665361895413,762.199910225307,760.682059161631,761.130318105391,760.586597642175,761.512657350361,760.622270551979,758.147530755081,759.504355375005,758.09650207361,756.173332671266,755.932276187682,756.104332106289,754.999099622378,755.718844060367,757.671689355221,757.935534232205,761.236730313272
1.78309,758.76606089388,760.768089739248,760.836085438222,762.980394329848,761.83760197368,761.563214583955,762.268561193965,761.987259238899,762.383308181593,760.946335246568,761.379248995043,760.852122632218,761.695158468341,760.747991591276,758.314247090012,759.564286830597,758.193515086363,756.33805168825,756.10349132834,756.261114745413,755.226990371208,755.932991696389,757.932615028252,758.165391005467,761.371351160097
1.7824,758.937693393484,760.928070136225,761.042113776361,763.112353098616,761.988439844843,761.738966113479,762.531033245173,762.305868755189,762.568488545069,761.20673567683,761.626396722886,761.114235298595,761.875122675813,760.873302015946,758.478694174212,759.624212660769,758.289366872442,756.49971493594,756.270676463316,756.415336548616,755.450688837483,756.145649597781,758.189863257107,758.392885030687,761.505925617596
1.78171,759.108775805307,761.087835864976,761.246889040743,763.243810281517,762.138809783558,761.914378275808,762.790588987519,762.62118151745,762.755396575837,761.463329255523,761.871737177397,761.372955026758,762.052585044193,760.998216159115,758.6409049709,759.684152144227,758.384057746353,756.658354109318,756.433892737403,756.567026230859,755.670234674379,756.356783464661,758.443450469425,758.618055221576,761.640436590936
1.78102,759.279290681621,761.247403219087,761.450419011674,763.374797572966,762.288748435969,762.089465248317,763.047262712906,762.933184804567,762.943987276648,761.716184880974,762.115252156165,761.628299650036,762.227586725913,761.122748637245,758.800909219243,759.744128231668,758.477590107672,756.814004374253,756.593200229916,756.716211050325,755.885669322085,756.566359352455,758.693388185498,758.840938624602,761.774860974455
1.78033,759.44922156283,761.406787410696,761.652713575393,763.505348956559,762.438298437484,762.264241658461,763.301091975182,763.241865904239,763.134225358165,761.965370029161,762.356930491403,761.880285531225,762.400172951513,761.246913561733,758.958733962586,759.804169044227,758.569968914537,756.966700807967,756.748655953291,756.862917237571,756.097035634558,756.774344006748,758.939691603954,759.061570260894,761.909178073671
1.77964,759.618551840222,761.566004543053,761.853780690769,763.63550318472,762.587503317542,762.438719404496,763.552119077498,763.547214915995,763.326081684926,762.210950457344,762.596764425956,762.128928112122,762.570389128454,761.370719725661,759.114404177929,759.864305049734,758.661201116545,757.116475993737,756.900314123407,757.007171526826,756.304375003528,756.980705069564,759.182376975681,759.27998524337,762.043371280004
1.77896,759.784821577906,761.722765879851,762.050738041439,763.763424442833,762.734250921175,762.610387830538,763.796813692192,763.844869801355,763.516714212598,762.449511391081,762.831310858707,762.370709097163,762.735868726582,761.492387265807,759.265733266562,759.923694236535,758.749997398306,757.261253447339,757.046106899186,757.146963141177,756.504807882619,757.182456596767,759.418022007972,759.4930969719,762.175485626846
1.77827,759.952899559565,761.881693021049,762.249382823189,763.892916410765,762.882902533763,762.784307518458,764.042419220593,764.143578077951,763.711705333644,762.68813852896,763.067466090577,762.612753070791,762.901534609368,761.615502162726,759.417194213134,759.984117203973,758.8389823063,757.405325281172,757.190368029816,757.286431635584,756.704266734368,757.385504513017,759.653578414496,759.707200023378,762.309400966902
1.77758,760.120313302724,762.040491991434,762.44681184307,764.022142109974,763.031347354542,762.957963212124,764.28536548514,764.43893459665,763.90824873405,762.92337095311,763.301773907651,762.851495605831,763.064995900229,761.738278318659,759.566567283818,760.044737944267,758.926860217084,757.546578784724,757.330971278635,757.423533587079,756.899812840902,757.586847535343,759.885578515976,759.919169159376,762.443175551557
1.7769,760.284630088693,762.196880664478,762.640190861194,764.149279651129,763.177488970684,763.128857806374,764.522241114852,764.726732868986,764.103452993673,763.151942824716,763.530887560871,763.08356240025,763.223991238802,761.85894513544,759.711751956434,760.104708286966,759.012401315699,757.683065820854,757.466003527566,757.556363518944,757.088729258736,757.783587451226,760.110761687629,760.125997598288,762.574880342847
1.77621,760.45066496623,762.355478380647,762.835209724818,764.278116481415,763.325676551656,763.30203798538,764.760068162286,765.015443762415,764.3030526616,763.380646820606,763.761556527467,763.315795542355,763.383261238437,761.981048215586,759.857037179908,760.165823635287,759.098141014912,757.818837892595,757.599484885569,757.688862144125,757.276601798824,757.981499516014,760.335778376894,760.333783746697,762.708404131464
1.77553,760.613592987376,762.511710824747,763.026219548609,764.404968929515,763.471664042078,763.472509730742,764.992007575446,765.296708628503,764.501265693928,763.60292290312,763.987115038418,763.541485211097,763.538258734948,762.101044400385,759.998229976769,760.226342480167,759.181613394682,757.949993577089,757.72759540973,757.817225448342,757.458010137014,758.174838743686,760.554133261607,760.53651528529,762.839901289825
1.77484,760.778197996863,762.670196396263,763.218842736408,764.533617910219,763.619796056187,763.645314972669,765.224934784097,765.578810749086,764.703931269892,763.825375639017,764.214227051386,763.767296130738,763.693618354632,762.222457907138,760.139501532439,760.288074472584,759.265297270514,758.080424741929,757.854151191654,757.945267855964,757.638312510979,758.369281483199,760.772272127682,760.740159612212,762.97326887258
1.77416,760.939705091101,762.82636255912,763.407498698206,764.660385863211,763.765830692141,763.815474829885,765.452146601425,765.853582058728,764.905187475454,764.041622842519,764.436349863529,763.986712022287,763.844915508286,762.341761393505,760.276775058288,760.349253398969,759.346792946741,758.206386248717,757.975530372114,758.069316377158,757.812300571812,758.559180699796,760.98389031242,760.938816100033,763.104669857736
1.77347,761.102870100102,762.984823949705,763.597738571611,764.789056371956,763.914119816031,763.988028468751,765.680366483456,766.129116025554,765.110971931822,764.258095365624,764.66007193532,764.206218385996,763.996684706717,762.462455894967,760.414105763363,760.411698764537,759.428526866265,758.331620260669,758.095351146408,758.19306149278,757.98510448816,758.750116419475,761.195232544925,761.13832785031,763.238001152441
1.77279,761.262979503375,763.141009386949,763.784052243818,764.915957991573,764.060417949119,764.158010417831,765.903012725671,766.397436580295,765.315345940901,764.468585292692,764.878973390286,764.419486890543,764.14461189448,762.581036544829,760.547528473126,760.473619366982,759.508159205486,758.452532139624,758.210189037561,758.312960113621,758.151719550289,758.936550373616,761.400196386837,761.332909888415,763.369434584811
1.77211,761.422429418998,763.297236541694,763.969214570005,765.043014334548,764.206923554602,764.327966105032,766.123438573209,766.662569878782,765.521314375257,764.676315265276,765.096385637109,764.629762460621,764.290998470617,762.699252828405,760.679058494183,760.535938328208,759.586912976548,758.57099365922,758.321857538186,758.430870252691,758.314678647824,759.121263306544,761.60189932073,761.525464096174,763.500946906481
1.77143,761.581257428542,763.453527919778,764.153242670575,765.170288044634,764.353686432463,764.497951658613,766.341678861964,766.924531893741,765.728921492375,764.881346935245,765.312401130206,764.837097888083,764.435940289699,762.81710595281,760.80870835287,760.598681527298,759.664826105449,758.687048690844,758.430419759689,758.546851990911,758.473987044489,759.304266323201,761.80038182837,761.715983515644,763.632591815917
1.77075,761.739506115708,763.609907985995,764.336158342395,765.297834857931,764.500755666041,764.668026922789,766.557769994757,767.183344303006,765.938219702119,765.083734866919,765.5271220387,765.041551446611,764.579529109994,762.934601316215,760.93648313438,760.66187848856,759.74194103512,758.800738861388,758.535938058174,758.660967271154,758.629647347077,759.485577618908,761.995688451303,761.90446069234,763.764430272669
1.77007,761.897223622411,763.766400137284,764.517985484301,765.425706691148,764.648179418667,764.838248974779,766.771747240197,767.439039581786,766.149273026383,765.283525853212,765.740661029372,765.243185892261,764.721854651943,763.05174855981,761.062381218156,760.725561662573,759.818302240933,758.912108843935,758.63847332513,758.773281900805,758.781664018656,759.665225334672,762.187871880681,762.090889318182,763.896536430825
1.76939,762.054460957038,763.9230264986,764.698743821042,765.553952228589,764.796001287182,765.00867452859,766.983643294429,767.691665198386,766.362156858514,765.480755496059,765.953140633201,765.442069802172,764.863002134364,763.168561563045,761.186397466041,760.789764258377,759.893956036359,759.021207108404,758.738084152401,758.883864503094,758.930037115851,759.843243836926,762.376985166249,762.275259661948,764.028996327675
1.76871,762.211273298845,764.079798893236,764.878442015652,765.682605356444,764.944251701998,765.17935729093,767.193475219294,767.941269689795,766.576956343245,765.675440851122,766.164678658973,765.638256503552,765.003042326894,763.285050477594,761.308523999823,760.85450868622,759.968940331389,759.128066487365,758.834809499857,758.992778067671,759.074756852482,760.019670840948,762.563071067749,762.457551822289,764.161897461135
1.76803,762.367720095382,764.236700969774,765.057068249825,765.811672398084,765.092933269459,765.350346267213,767.401227472566,768.187880639614,766.793764278447,765.867577769813,766.375365615303,765.831768315959,765.142006077051,763.401202327483,761.428750490253,760.919792163053,760.04328312596,759.232689196266,758.928653428604,759.10005645555,759.215799774894,760.194545575655,762.746149066527,762.637736587314,764.295306871039
1.76735,762.523862634919,764.393704816289,765.234604121004,765.941155503883,765.242040144827,765.52168472207,767.606870825062,768.431522105759,767.01267777364,766.057139928679,766.585279177484,766.022609893821,765.279903918514,763.517004472616,761.547063554201,760.985601416634,760.117003590177,759.335058873545,759.019600840757,759.205713004188,759.353126801287,760.367907671016,762.926233062495,762.815777263963,764.429288801912
1.76667,762.679760029685,764.550768464161,765.411026174502,766.071051176905,765.391554535783,765.693409408846,767.810359955708,768.672213498595,767.2337945498,766.244078054527,766.794491436722,766.210777834993,765.416726618319,763.632444983092,761.663443839425,761.051910550475,760.190109467998,759.435141160784,759.107612927283,759.309744399858,759.48668886505,760.539800012766,763.103330456535,762.991625954909,764.563909018168
1.76599,762.835480382702,764.707842958028,765.586314605858,766.2013502147,765.541443537166,765.865551481196,768.011635775266,768.90998063014,767.457216365012,766.428319025359,767.003069171407,766.396260280205,765.552451334987,763.747510545117,761.777866468429,761.118685168162,760.262598118994,759.532891238765,759.192628548446,759.412130980355,759.616427090721,760.710271786479,763.277445728238,763.165224758161,764.6992401984
1.76532,762.988808900513,764.862570948034,765.757903511454,766.330110525766,765.689447537217,766.03559001248,768.20771367729,769.141428566627,767.679708575861,766.607113681186,767.208015717789,766.57637263998,765.685062131186,763.86050587788,761.888658957253,761.18489625212,760.33340141859,759.626870472528,759.273380478703,759.511366830377,759.74044811955,760.876901910293,763.446069632129,763.333996121135,764.833349728127
1.76464,763.144394303224,765.019526879081,765.930908712231,766.461147619502,765.839921630286,766.208610876243,768.404355879555,769.373520421532,767.908014908357,766.785667083624,767.41549957453,766.756476491749,765.818445251884,763.974806015294,761.999100157621,761.252483134396,760.404613638287,759.719824317844,759.352168395367,759.610361841426,759.862375164218,761.044729809164,763.614204641118,763.50288891313,764.970318992661
1.76397,763.29773277886,765.174048895011,766.100248246872,766.590564655493,765.988363775732,766.379525182718,768.595677404041,769.599490023983,768.135517606743,766.95855982025,767.619458098131,766.931257273868,765.948576988486,764.087058922662,762.105916450911,761.319413015825,760.47412101269,759.808947923805,759.426543832105,759.70614660075,759.978540362125,761.208896027749,763.776862266252,763.666842923771,765.106205846562
