# generated by Yan Jiaxu's group.

536 atoms
2 atom types

  0.000   0.246 xlo xhi
  0.000   0.246 ylo yhi
 -0.335   0.000 zlo zhi
  0.142   0.000   0.000 xy xz yz
  Masses

1 12.011
2 12.011
Atoms

1 1   1.107  -0.923   0.000
2 1   1.230  -0.710   0.000
3 1   1.353  -0.497   0.000
4 1   0.615  -1.349   0.000
5 1   0.738  -1.136   0.000
6 1   0.861  -0.923   0.000
7 1   0.984  -0.710   0.000
8 1   1.107  -0.497   0.000
9 1   1.230  -0.284   0.000
10 1   1.353  -0.071   0.000
11 1   1.476   0.142   0.000
12 1   0.369  -1.349   0.000
13 1   0.492  -1.136   0.000
14 1   0.615  -0.923   0.000
15 1   0.738  -0.710   0.000
16 1   0.861  -0.497   0.000
17 1   0.984  -0.284   0.000
18 1   1.107  -0.071   0.000
19 1   1.230   0.142   0.000
20 1   1.353   0.355   0.000
21 1   0.123  -1.349   0.000
22 1   0.246  -1.136   0.000
23 1   0.369  -0.923   0.000
24 1   0.492  -0.710   0.000
25 1   0.615  -0.497   0.000
26 1   0.738  -0.284   0.000
27 1   0.861  -0.071   0.000
28 1   0.984   0.142   0.000
29 1   1.107   0.355   0.000
30 1   1.230   0.568   0.000
31 1  -0.123  -1.349   0.000
32 1   0.000  -1.136   0.000
33 1   0.123  -0.923   0.000
34 1   0.246  -0.710   0.000
35 1   0.369  -0.497   0.000
36 1   0.492  -0.284   0.000
37 1   0.615  -0.071   0.000
38 1   0.738   0.142   0.000
39 1   0.861   0.355   0.000
40 1   0.984   0.568   0.000
41 1   1.107   0.781   0.000
42 1  -0.369  -1.349   0.000
43 1  -0.246  -1.136   0.000
44 1  -0.123  -0.923   0.000
45 1   0.000  -0.710   0.000
46 1   0.123  -0.497   0.000
47 1   0.246  -0.284   0.000
48 1   0.369  -0.071   0.000
49 1   0.492   0.142   0.000
50 1   0.615   0.355   0.000
51 1   0.738   0.568   0.000
52 1   0.861   0.781   0.000
53 1   0.984   0.994   0.000
54 1  -0.615  -1.349   0.000
55 1  -0.492  -1.136   0.000
56 1  -0.369  -0.923   0.000
57 1  -0.246  -0.710   0.000
58 1  -0.123  -0.497   0.000
59 1   0.000  -0.284   0.000
60 1   0.123  -0.071   0.000
61 1   0.246   0.142   0.000
62 1   0.369   0.355   0.000
63 1   0.492   0.568   0.000
64 1   0.615   0.781   0.000
65 1   0.738   0.994   0.000
66 1   0.861   1.207   0.000
67 1  -0.738  -1.136   0.000
68 1  -0.615  -0.923   0.000
69 1  -0.492  -0.710   0.000
70 1  -0.369  -0.497   0.000
71 1  -0.246  -0.284   0.000
72 1  -0.123  -0.071   0.000
73 1   0.000   0.142   0.000
74 1   0.123   0.355   0.000
75 1   0.246   0.568   0.000
76 1   0.369   0.781   0.000
77 1   0.492   0.994   0.000
78 1   0.615   1.207   0.000
79 1  -0.861  -0.923   0.000
80 1  -0.738  -0.710   0.000
81 1  -0.615  -0.497   0.000
82 1  -0.492  -0.284   0.000
83 1  -0.369  -0.071   0.000
84 1  -0.246   0.142   0.000
85 1  -0.123   0.355   0.000
86 1   0.000   0.568   0.000
87 1   0.123   0.781   0.000
88 1   0.246   0.994   0.000
89 1   0.369   1.207   0.000
90 1  -1.107  -0.923   0.000
91 1  -0.984  -0.710   0.000
92 1  -0.861  -0.497   0.000
93 1  -0.738  -0.284   0.000
94 1  -0.615  -0.071   0.000
95 1  -0.492   0.142   0.000
96 1  -0.369   0.355   0.000
97 1  -0.246   0.568   0.000
98 1  -0.123   0.781   0.000
99 1   0.000   0.994   0.000
100 1   0.123   1.207   0.000
101 1   0.246   1.420   0.000
102 1  -1.230  -0.710   0.000
103 1  -1.107  -0.497   0.000
104 1  -0.984  -0.284   0.000
105 1  -0.861  -0.071   0.000
106 1  -0.738   0.142   0.000
107 1  -0.615   0.355   0.000
108 1  -0.492   0.568   0.000
109 1  -0.369   0.781   0.000
110 1  -0.246   0.994   0.000
111 1  -0.123   1.207   0.000
112 1   0.000   1.420   0.000
113 1  -1.353  -0.497   0.000
114 1  -1.230  -0.284   0.000
115 1  -1.107  -0.071   0.000
116 1  -0.984   0.142   0.000
117 1  -0.861   0.355   0.000
118 1  -0.738   0.568   0.000
119 1  -0.615   0.781   0.000
120 1  -0.492   0.994   0.000
121 1  -0.369   1.207   0.000
122 1  -0.246   1.420   0.000
123 1  -1.353  -0.071   0.000
124 1  -1.230   0.142   0.000
125 1  -1.107   0.355   0.000
126 1  -0.984   0.568   0.000
127 1  -0.861   0.781   0.000
128 1  -0.738   0.994   0.000
129 1  -0.615   1.207   0.000
130 1  -1.476   0.142   0.000
131 1  -1.353   0.355   0.000
132 1  -1.230   0.568   0.000
133 1  -1.107   0.781   0.000
134 1  -0.984   0.994   0.000
135 1  -0.861   1.207   0.000
136 1   1.230  -0.852   0.000
137 1   1.353  -0.639   0.000
138 1   0.738  -1.278   0.000
139 1   0.861  -1.065   0.000
140 1   0.984  -0.852   0.000
141 1   1.107  -0.639   0.000
142 1   1.230  -0.426   0.000
143 1   1.353  -0.213   0.000
144 1   1.476   0.000   0.000
145 1   0.492  -1.278   0.000
146 1   0.615  -1.065   0.000
147 1   0.738  -0.852   0.000
148 1   0.861  -0.639   0.000
149 1   0.984  -0.426   0.000
150 1   1.107  -0.213   0.000
151 1   1.230   0.000   0.000
152 1   1.353   0.213   0.000
153 1   0.246  -1.278   0.000
154 1   0.369  -1.065   0.000
155 1   0.492  -0.852   0.000
156 1   0.615  -0.639   0.000
157 1   0.738  -0.426   0.000
158 1   0.861  -0.213   0.000
159 1   0.984   0.000   0.000
160 1   1.107   0.213   0.000
161 1   1.230   0.426   0.000
162 1   0.000  -1.278   0.000
163 1   0.123  -1.065   0.000
164 1   0.246  -0.852   0.000
165 1   0.369  -0.639   0.000
166 1   0.492  -0.426   0.000
167 1   0.615  -0.213   0.000
168 1   0.738   0.000   0.000
169 1   0.861   0.213   0.000
170 1   0.984   0.426   0.000
171 1   1.107   0.639   0.000
172 1  -0.246  -1.278   0.000
173 1  -0.123  -1.065   0.000
174 1   0.000  -0.852   0.000
175 1   0.123  -0.639   0.000
176 1   0.246  -0.426   0.000
177 1   0.369  -0.213   0.000
178 1   0.492   0.000   0.000
179 1   0.615   0.213   0.000
180 1   0.738   0.426   0.000
181 1   0.861   0.639   0.000
182 1   0.984   0.852   0.000
183 1  -0.492  -1.278   0.000
184 1  -0.369  -1.065   0.000
185 1  -0.246  -0.852   0.000
186 1  -0.123  -0.639   0.000
187 1   0.000  -0.426   0.000
188 1   0.123  -0.213   0.000
189 1   0.246   0.000   0.000
190 1   0.369   0.213   0.000
191 1   0.492   0.426   0.000
192 1   0.615   0.639   0.000
193 1   0.738   0.852   0.000
194 1   0.861   1.065   0.000
195 1  -0.738  -1.278   0.000
196 1  -0.615  -1.065   0.000
197 1  -0.492  -0.852   0.000
198 1  -0.369  -0.639   0.000
199 1  -0.246  -0.426   0.000
200 1  -0.123  -0.213   0.000
201 1   0.000   0.000   0.000
202 1   0.123   0.213   0.000
203 1   0.246   0.426   0.000
204 1   0.369   0.639   0.000
205 1   0.492   0.852   0.000
206 1   0.615   1.065   0.000
207 1   0.738   1.278   0.000
208 1  -0.861  -1.065   0.000
209 1  -0.738  -0.852   0.000
210 1  -0.615  -0.639   0.000
211 1  -0.492  -0.426   0.000
212 1  -0.369  -0.213   0.000
213 1  -0.246   0.000   0.000
