wavelength:cm-1,532.143005
X	Y
60.775025	581.000000
61.224870	572.000000
61.674680	587.000000
62.124455	580.000000
62.574194	565.000000
63.023898	577.000000
63.473566	578.000000
63.923199	580.000000
64.372797	579.000000
64.822359	554.000000
65.271886	574.000000
65.721378	586.000000
66.170834	592.000000
66.620255	564.000000
67.069641	581.000000
67.518991	594.000000
67.968306	568.000000
68.417586	580.000000
68.866830	570.000000
69.316039	571.000000
69.765212	575.000000
70.214350	578.000000
70.663453	578.000000
71.112521	586.000000
71.561553	581.000000
72.010550	567.000000
72.459511	562.000000
72.908437	577.000000
73.357328	573.000000
73.806184	564.000000
74.255004	557.000000
74.703789	558.000000
75.152539	574.000000
75.601253	558.000000
76.049932	563.000000
76.498576	572.000000
76.947184	579.000000
77.395757	565.000000
77.844295	575.000000
78.292798	559.000000
78.741265	567.000000
79.189697	565.000000
79.638094	558.000000
80.086455	587.000000
80.534781	591.000000
80.983072	574.000000
81.431328	569.000000
81.879548	558.000000
82.327733	577.000000
82.775883	578.000000
83.223997	581.000000
83.672077	575.000000
84.120121	566.000000
84.568129	565.000000
85.016103	581.000000
85.464041	576.000000
85.911944	574.000000
86.359812	570.000000
86.807644	576.000000
87.255442	578.000000
87.703204	567.000000
88.150931	565.000000
88.598622	577.000000
89.046278	570.000000
89.493900	577.000000
89.941485	573.000000
90.389036	565.000000
90.836552	572.000000
91.284032	570.000000
91.731477	573.000000
92.178887	564.000000
92.626261	573.000000
93.073600	573.000000
93.520905	573.000000
93.968174	577.000000
94.415407	574.000000
94.862606	572.000000
95.309769	568.000000
95.756897	565.000000
96.203990	571.000000
96.651048	575.000000
97.098071	562.000000
97.545058	571.000000
97.992010	566.000000
98.438928	570.000000
98.885809	581.000000
99.332656	556.000000
99.779468	582.000000
100.226244	568.000000
100.672985	563.000000
101.119691	573.000000
101.566362	566.000000
102.012998	562.000000
102.459598	584.000000
102.906164	564.000000
103.352694	562.000000
103.799189	562.000000
104.245649	566.000000
104.692074	571.000000
105.138464	566.000000
105.584818	571.000000
106.031138	554.000000
106.477422	568.000000
106.923671	570.000000
107.369885	550.000000
107.816064	577.000000
108.262208	562.000000
108.708316	550.000000
109.154390	576.000000
109.600428	555.000000
110.046431	566.000000
110.492400	559.000000
110.938333	566.000000
111.384231	563.000000
111.830093	584.000000
112.275921	582.000000
112.721714	562.000000
113.167471	580.000000
113.613194	573.000000
114.058881	568.000000
114.504534	556.000000
114.950151	572.000000
115.395733	574.000000
115.841280	572.000000
116.286792	570.000000
116.732269	558.000000
117.177710	559.000000
117.623117	582.000000
118.068489	577.000000
118.513825	571.000000
118.959127	569.000000
119.404393	559.000000
119.849625	572.000000
120.294821	561.000000
120.739982	576.000000
121.185109	571.000000
121.630200	567.000000
122.075256	582.000000
122.520277	563.000000
122.965263	567.000000
123.410214	563.000000
123.855130	579.000000
124.300011	550.000000
124.744857	570.000000
125.189668	575.000000
125.634444	582.000000
126.079184	566.000000
126.523890	569.000000
126.968561	577.000000
127.413197	560.000000
127.857798	538.000000
128.302363	564.000000
128.746894	571.000000
129.191390	563.000000
129.635850	575.000000
130.080276	571.000000
130.524667	571.000000
130.969023	567.000000
131.413343	561.000000
131.857629	585.000000
132.301880	557.000000
132.746095	560.000000
133.190276	561.000000
133.634422	568.000000
134.078533	567.000000
134.522609	582.000000
134.966649	558.000000
135.410655	568.000000
135.854626	575.000000
136.298562	580.000000
136.742463	585.000000
137.186329	571.000000
137.630160	566.000000
138.073956	571.000000
138.517717	556.000000
138.961443	576.000000
139.405135	584.000000
139.848791	580.000000
140.292412	564.000000
140.735999	581.000000
141.179550	573.000000
141.623067	570.000000
142.066548	563.000000
142.509995	571.000000
142.953406	561.000000
143.396783	562.000000
143.840125	555.000000
144.283432	580.000000
144.726704	572.000000
145.169941	574.000000
145.613143	563.000000
146.056310	573.000000
146.499443	563.000000
146.942540	554.000000
147.385603	583.000000
147.828630	572.000000
148.271623	596.000000
148.714581	555.000000
149.157504	567.000000
149.600392	578.000000
150.043245	561.000000
150.486063	569.000000
150.928847	563.000000
151.371595	565.000000
151.814309	570.000000
152.256987	566.000000
152.699631	576.000000
153.142240	567.000000
153.584814	561.000000
154.027353	573.000000
154.469858	573.000000
154.912327	564.000000
155.354762	573.000000
155.797162	574.000000
156.239527	569.000000
156.681857	577.000000
157.124152	563.000000
157.566412	577.000000
158.008638	556.000000
158.450828	557.000000
158.892984	557.000000
159.335105	560.000000
159.777191	565.000000
160.219242	580.000000
160.661259	551.000000
161.103241	568.000000
161.545187	575.000000
161.987099	574.000000
162.428977	576.000000
162.870819	559.000000
163.312626	564.000000
163.754399	555.000000
164.196137	561.000000
164.637840	578.000000
165.079508	565.000000
165.521142	561.000000
165.962740	569.000000
166.404304	569.000000
166.845833	572.000000
167.287328	566.000000
167.728787	566.000000
168.170212	563.000000
168.611602	583.000000
169.052957	571.000000
169.494277	559.000000
169.935563	578.000000
170.376813	563.000000
170.818029	571.000000
171.259211	553.000000
171.700357	581.000000
172.141469	563.000000
172.582546	557.000000
173.023588	563.000000
173.464595	571.000000
173.905568	568.000000
174.346506	562.000000
174.787409	549.000000
175.228277	564.000000
175.669111	576.000000
176.109910	560.000000
176.550674	563.000000
176.991403	557.000000
177.432098	569.000000
177.872758	566.000000
178.313383	568.000000
178.753973	546.000000
179.194529	579.000000
179.635050	560.000000
180.075536	582.000000
180.515988	572.000000
180.956405	578.000000
181.396787	563.000000
181.837134	573.000000
182.277447	573.000000
182.717725	587.000000
183.157968	569.000000
183.598177	568.000000
184.038350	556.000000
184.478490	563.000000
184.918594	568.000000
185.358664	555.000000
185.798699	567.000000
186.238699	576.000000
186.678665	565.000000
187.118596	552.000000
187.558492	582.000000
187.998354	564.000000
188.438181	567.000000
188.877973	585.000000
189.317731	555.000000
189.757454	561.000000
190.197142	578.000000
190.636796	554.000000
191.076414	579.000000
191.515999	578.000000
191.955548	564.000000
192.395063	570.000000
192.834544	571.000000
193.273989	571.000000
193.713400	567.000000
194.152777	555.000000
194.592118	578.000000
195.031425	574.000000
195.470698	577.000000
195.909936	567.000000
196.349139	571.000000
196.788307	580.000000
197.227441	554.000000
197.666541	569.000000
198.105605	543.000000
198.544635	573.000000
198.983631	567.000000
199.422591	565.000000
199.861518	567.000000
200.300409	580.000000
200.739266	572.000000
201.178089	573.000000
201.616876	573.000000
202.055629	560.000000
202.494348	560.000000
202.933032	573.000000
203.371681	569.000000
203.810296	563.000000
204.248876	563.000000
204.687422	576.000000
205.125933	556.000000
205.564409	582.000000
206.002851	570.000000
206.441258	576.000000
206.879631	569.000000
207.317969	557.000000
207.756273	568.000000
208.194542	561.000000
208.632776	567.000000
209.070976	562.000000
209.509141	572.000000
209.947272	582.000000
210.385368	552.000000
210.823430	565.000000
211.261457	583.000000
211.699449	562.000000
212.137407	564.000000
212.575331	565.000000
213.013220	569.000000
213.451074	551.000000
213.888894	563.000000
214.326679	568.000000
214.764430	564.000000
215.202146	554.000000
215.639828	570.000000
216.077475	573.000000
216.515087	563.000000
216.952666	568.000000
217.390209	576.000000
217.827718	564.000000
218.265193	563.000000
218.702633	572.000000
219.140038	571.000000
219.577410	567.000000
220.014746	581.000000
220.452048	562.000000
220.889316	565.000000
221.326549	551.000000
221.763747	560.000000
222.200911	558.000000
222.638041	575.000000
223.075136	570.000000
223.512197	586.000000
223.949223	566.000000
224.386215	551.000000
224.823172	569.000000
225.260094	571.000000
225.696983	570.000000
226.133836	578.000000
226.570656	569.000000
227.007441	568.000000
227.444191	581.000000
227.880907	575.000000
228.317588	600.000000
228.754235	570.000000
229.190848	571.000000
229.627426	568.000000
230.063970	568.000000
230.500479	576.000000
230.936954	560.000000
231.373394	560.000000
231.809800	573.000000
232.246172	551.000000
232.682509	574.000000
233.118811	578.000000
233.555080	573.000000
233.991313	565.000000
234.427513	575.000000
234.863678	580.000000
235.299808	564.000000
235.735904	565.000000
236.171966	572.000000
236.607993	575.000000
237.043986	565.000000
237.479944	579.000000
237.915869	565.000000
238.351758	559.000000
238.787613	572.000000
239.223434	564.000000
239.659221	576.000000
240.094973	563.000000
240.530691	563.000000
240.966374	561.000000
241.402023	561.000000
241.837637	565.000000
