wavelength:cm-1,532.143005
X	Y
60.775025	572.000000
61.224870	596.000000
61.674680	574.000000
62.124455	588.000000
62.574194	576.000000
63.023898	567.000000
63.473566	591.000000
63.923199	588.000000
64.372797	583.000000
64.822359	589.000000
65.271886	593.000000
65.721378	594.000000
66.170834	570.000000
66.620255	579.000000
67.069641	584.000000
67.518991	580.000000
67.968306	593.000000
68.417586	585.000000
68.866830	607.000000
69.316039	615.000000
69.765212	618.000000
70.214350	611.000000
70.663453	623.000000
71.112521	613.000000
71.561553	634.000000
72.010550	628.000000
72.459511	640.000000
72.908437	640.000000
73.357328	657.000000
73.806184	660.000000
74.255004	673.000000
74.703789	684.000000
75.152539	732.000000
75.601253	745.000000
76.049932	752.000000
76.498576	797.000000
76.947184	822.000000
77.395757	832.000000
77.844295	843.000000
78.292798	872.000000
78.741265	907.000000
79.189697	876.000000
79.638094	911.000000
80.086455	867.000000
80.534781	869.000000
80.983072	829.000000
81.431328	781.000000
81.879548	767.000000
82.327733	727.000000
82.775883	698.000000
83.223997	701.000000
83.672077	652.000000
84.120121	627.000000
84.568129	645.000000
85.016103	645.000000
85.464041	608.000000
85.911944	606.000000
86.359812	605.000000
86.807644	601.000000
87.255442	599.000000
87.703204	588.000000
88.150931	586.000000
88.598622	595.000000
89.046278	582.000000
89.493900	596.000000
89.941485	592.000000
90.389036	580.000000
90.836552	583.000000
91.284032	567.000000
91.731477	587.000000
92.178887	578.000000
92.626261	567.000000
93.073600	572.000000
93.520905	559.000000
93.968174	579.000000
94.415407	586.000000
94.862606	559.000000
95.309769	604.000000
95.756897	559.000000
96.203990	571.000000
96.651048	587.000000
97.098071	577.000000
97.545058	574.000000
97.992010	576.000000
98.438928	578.000000
98.885809	572.000000
99.332656	581.000000
99.779468	567.000000
100.226244	576.000000
100.672985	566.000000
101.119691	575.000000
101.566362	579.000000
102.012998	576.000000
102.459598	576.000000
102.906164	572.000000
103.352694	583.000000
103.799189	591.000000
104.245649	590.000000
104.692074	595.000000
105.138464	586.000000
105.584818	580.000000
106.031138	596.000000
106.477422	559.000000
106.923671	568.000000
107.369885	582.000000
