wavelength:cm-1,532.143005
X	Y
60.775025	601.000000
61.224870	619.000000
61.674680	631.000000
62.124455	598.000000
62.574194	603.000000
63.023898	609.000000
63.473566	626.000000
63.923199	602.000000
64.372797	621.000000
64.822359	618.000000
65.271886	632.000000
65.721378	594.000000
66.170834	608.000000
66.620255	621.000000
67.069641	622.000000
67.518991	610.000000
67.968306	639.000000
68.417586	622.000000
68.866830	629.000000
69.316039	645.000000
69.765212	637.000000
70.214350	670.000000
70.663453	651.000000
71.112521	643.000000
71.561553	669.000000
72.010550	700.000000
72.459511	717.000000
72.908437	720.000000
73.357328	735.000000
73.806184	747.000000
74.255004	777.000000
74.703789	823.000000
75.152539	834.000000
75.601253	892.000000
76.049932	894.000000
76.498576	956.000000
76.947184	959.000000
77.395757	994.000000
77.844295	1052.000000
78.292798	1029.000000
78.741265	1035.000000
79.189697	980.000000
79.638094	1017.000000
80.086455	973.000000
80.534781	946.000000
80.983072	950.000000
81.431328	858.000000
81.879548	885.000000
82.327733	830.000000
82.775883	794.000000
83.223997	777.000000
83.672077	731.000000
84.120121	697.000000
84.568129	693.000000
85.016103	682.000000
85.464041	662.000000
85.911944	645.000000
86.359812	641.000000
86.807644	627.000000
87.255442	614.000000
87.703204	620.000000
88.150931	602.000000
88.598622	607.000000
89.046278	605.000000
89.493900	618.000000
89.941485	595.000000
90.389036	611.000000
90.836552	621.000000
91.284032	599.000000
91.731477	624.000000
92.178887	602.000000
92.626261	593.000000
93.073600	607.000000
93.520905	602.000000
93.968174	600.000000
94.415407	598.000000
94.862606	583.000000
95.309769	608.000000
95.756897	576.000000
96.203990	607.000000
96.651048	601.000000
97.098071	606.000000
97.545058	614.000000
97.992010	602.000000
98.438928	608.000000
98.885809	582.000000
99.332656	595.000000
99.779468	592.000000
100.226244	632.000000
100.672985	603.000000
101.119691	599.000000
101.566362	590.000000
102.012998	616.000000
102.459598	611.000000
102.906164	623.000000
103.352694	608.000000
103.799189	611.000000
104.245649	620.000000
104.692074	607.000000
105.138464	618.000000
105.584818	622.000000
106.031138	630.000000
106.477422	613.000000
106.923671	613.000000
107.369885	644.000000
107.816064	641.000000
108.262208	648.000000
108.708316	657.000000
109.154390	649.000000
109.600428	638.000000
110.046431	638.000000
110.492400	650.000000
110.938333	664.000000
111.384231	705.000000
111.830093	640.000000
112.275921	667.000000
112.721714	671.000000
113.167471	693.000000
113.613194	700.000000
114.058881	682.000000
114.504534	709.000000
114.950151	693.000000
115.395733	668.000000
115.841280	693.000000
116.286792	717.000000
116.732269	688.000000
117.177710	693.000000
117.623117	672.000000
118.068489	675.000000
118.513825	687.000000
118.959127	681.000000
119.404393	702.000000
119.849625	675.000000
120.294821	688.000000
120.739982	718.000000
121.185109	706.000000
121.630200	726.000000
122.075256	761.000000
122.520277	733.000000
122.965263	728.000000
123.410214	759.000000
123.855130	734.000000
124.300011	774.000000
124.744857	772.000000
125.189668	782.000000
125.634444	806.000000
126.079184	767.000000
126.523890	780.000000
126.968561	782.000000
127.413197	805.000000
127.857798	724.000000
128.302363	778.000000
128.746894	783.000000
129.191390	769.000000
129.635850	763.000000
130.080276	755.000000
130.524667	766.000000
130.969023	739.000000
131.413343	739.000000
131.857629	732.000000
132.301880	717.000000
132.746095	705.000000
133.190276	705.000000
133.634422	701.000000
134.078533	664.000000
134.522609	679.000000
134.966649	688.000000
135.410655	666.000000
135.854626	666.000000
136.298562	671.000000
136.742463	653.000000
137.186329	639.000000
137.630160	657.000000
138.073956	652.000000
138.517717	620.000000
138.961443	624.000000
139.405135	633.000000
139.848791	628.000000
140.292412	617.000000
140.735999	616.000000
141.179550	626.000000
141.623067	629.000000
142.066548	611.000000
142.509995	617.000000
142.953406	604.000000
143.396783	628.000000
143.840125	613.000000
144.283432	602.000000
144.726704	614.000000
145.169941	619.000000
145.613143	578.000000
146.056310	613.000000
146.499443	604.000000
146.942540	617.000000
147.385603	609.000000
147.828630	592.000000
148.271623	615.000000
148.714581	579.000000
149.157504	609.000000
149.600392	602.000000
150.043245	605.000000
150.486063	602.000000
150.928847	592.000000
151.371595	613.000000
151.814309	621.000000
152.256987	604.000000
152.699631	600.000000
153.142240	623.000000
153.584814	600.000000
154.027353	621.000000
154.469858	591.000000
154.912327	587.000000
155.354762	607.000000
155.797162	595.000000
156.239527	605.000000
156.681857	598.000000
157.124152	603.000000
157.566412	607.000000
158.008638	602.000000
158.450828	606.000000
158.892984	611.000000
159.335105	585.000000
159.777191	579.000000
160.219242	613.000000
160.661259	597.000000
161.103241	583.000000
161.545187	588.000000
161.987099	607.000000
162.428977	595.000000
162.870819	584.000000
163.312626	592.000000
163.754399	570.000000
164.196137	598.000000
164.637840	608.000000
165.079508	606.000000
165.521142	599.000000
165.962740	572.000000
166.404304	592.000000
166.845833	588.000000
167.287328	570.000000
167.728787	573.000000
168.170212	581.000000
168.611602	589.000000
169.052957	585.000000
169.494277	609.000000
169.935563	576.000000
170.376813	594.000000
170.818029	594.000000
171.259211	597.000000
171.700357	575.000000
172.141469	603.000000
172.582546	579.000000
173.023588	589.000000
173.464595	600.000000
173.905568	598.000000
174.346506	593.000000
174.787409	588.000000
175.228277	585.000000
175.669111	579.000000
176.109910	596.000000
176.550674	602.000000
176.991403	601.000000
177.432098	589.000000
177.872758	586.000000
178.313383	585.000000
178.753973	605.000000
179.194529	603.000000
179.635050	597.000000
180.075536	604.000000
180.515988	596.000000
180.956405	594.000000
181.396787	580.000000
181.837134	585.000000
182.277447	575.000000
182.717725	588.000000
183.157968	605.000000
183.598177	613.000000
184.038350	617.000000
184.478490	591.000000
184.918594	603.000000
185.358664	574.000000
185.798699	593.000000
186.238699	596.000000
186.678665	604.000000
187.118596	587.000000
187.558492	590.000000
187.998354	603.000000
