wavelength:cm-1,532.143005
X	Y
60.775025	644.000000
61.224870	623.000000
61.674680	631.000000
62.124455	629.000000
62.574194	627.000000
63.023898	631.000000
63.473566	635.000000
63.923199	639.000000
64.372797	617.000000
64.822359	632.000000
65.271886	645.000000
65.721378	640.000000
66.170834	650.000000
66.620255	638.000000
67.069641	634.000000
67.518991	645.000000
67.968306	663.000000
68.417586	641.000000
68.866830	651.000000
69.316039	659.000000
69.765212	663.000000
70.214350	660.000000
70.663453	686.000000
71.112521	709.000000
71.561553	676.000000
72.010550	693.000000
72.459511	712.000000
72.908437	726.000000
73.357328	735.000000
73.806184	767.000000
74.255004	744.000000
74.703789	775.000000
75.152539	823.000000
75.601253	852.000000
76.049932	904.000000
76.498576	921.000000
76.947184	986.000000
77.395757	984.000000
77.844295	958.000000
78.292798	956.000000
78.741265	1006.000000
79.189697	977.000000
79.638094	985.000000
80.086455	942.000000
80.534781	884.000000
80.983072	882.000000
81.431328	872.000000
81.879548	805.000000
82.327733	772.000000
82.775883	750.000000
83.223997	710.000000
83.672077	704.000000
84.120121	696.000000
84.568129	666.000000
85.016103	673.000000
85.464041	661.000000
85.911944	635.000000
86.359812	639.000000
86.807644	640.000000
87.255442	649.000000
87.703204	625.000000
88.150931	648.000000
88.598622	627.000000
89.046278	619.000000
89.493900	618.000000
89.941485	622.000000
90.389036	638.000000
90.836552	617.000000
91.284032	602.000000
91.731477	623.000000
92.178887	620.000000
92.626261	631.000000
93.073600	624.000000
93.520905	608.000000
93.968174	622.000000
94.415407	602.000000
94.862606	595.000000
95.309769	609.000000
95.756897	602.000000
96.203990	615.000000
96.651048	592.000000
97.098071	584.000000
97.545058	637.000000
97.992010	598.000000
98.438928	606.000000
98.885809	627.000000
99.332656	618.000000
99.779468	598.000000
100.226244	628.000000
100.672985	625.000000
101.119691	598.000000
101.566362	621.000000
102.012998	627.000000
102.459598	634.000000
102.906164	601.000000
103.352694	605.000000
103.799189	624.000000
104.245649	622.000000
104.692074	615.000000
105.138464	619.000000
105.584818	636.000000
106.031138	607.000000
106.477422	612.000000
106.923671	595.000000
107.369885	619.000000
107.816064	620.000000
108.262208	631.000000
108.708316	630.000000
109.154390	629.000000
109.600428	636.000000
110.046431	611.000000
110.492400	628.000000
110.938333	628.000000
111.384231	637.000000
111.830093	633.000000
112.275921	637.000000
112.721714	648.000000
113.167471	641.000000
113.613194	621.000000
114.058881	633.000000
114.504534	644.000000
114.950151	641.000000
115.395733	643.000000
115.841280	625.000000
116.286792	653.000000
116.732269	655.000000
117.177710	641.000000
117.623117	655.000000
118.068489	660.000000
118.513825	652.000000
118.959127	643.000000
119.404393	696.000000
119.849625	668.000000
120.294821	665.000000
120.739982	688.000000
121.185109	686.000000
121.630200	707.000000
122.075256	713.000000
122.520277	722.000000
122.965263	715.000000
123.410214	727.000000
123.855130	727.000000
124.300011	697.000000
124.744857	748.000000
125.189668	745.000000
125.634444	741.000000
126.079184	746.000000
126.523890	746.000000
126.968561	768.000000
127.413197	739.000000
127.857798	759.000000
128.302363	741.000000
128.746894	721.000000
129.191390	742.000000
129.635850	750.000000
130.080276	712.000000
130.524667	709.000000
130.969023	729.000000
131.413343	700.000000
131.857629	693.000000
132.301880	685.000000
132.746095	677.000000
133.190276	689.000000
133.634422	679.000000
134.078533	696.000000
134.522609	665.000000
134.966649	666.000000
135.410655	693.000000
135.854626	643.000000
136.298562	624.000000
