wavelength:cm-1,532.143005
X	Y
60.775025	584.000000
61.224870	599.000000
61.674680	577.000000
62.124455	581.000000
62.574194	593.000000
63.023898	604.000000
63.473566	597.000000
63.923199	596.000000
64.372797	586.000000
64.822359	620.000000
65.271886	609.000000
65.721378	599.000000
66.170834	601.000000
66.620255	611.000000
67.069641	598.000000
67.518991	592.000000
67.968306	606.000000
68.417586	614.000000
68.866830	625.000000
69.316039	627.000000
69.765212	623.000000
70.214350	628.000000
70.663453	630.000000
71.112521	630.000000
71.561553	648.000000
72.010550	649.000000
72.459511	629.000000
72.908437	675.000000
73.357328	675.000000
73.806184	679.000000
74.255004	725.000000
74.703789	738.000000
75.152539	757.000000
75.601253	800.000000
76.049932	786.000000
76.498576	884.000000
76.947184	896.000000
77.395757	938.000000
77.844295	929.000000
78.292798	942.000000
78.741265	942.000000
79.189697	979.000000
79.638094	985.000000
80.086455	901.000000
80.534781	886.000000
80.983072	850.000000
81.431328	836.000000
81.879548	790.000000
82.327733	741.000000
82.775883	740.000000
83.223997	716.000000
83.672077	696.000000
84.120121	689.000000
84.568129	658.000000
85.016103	659.000000
85.464041	631.000000
85.911944	613.000000
86.359812	617.000000
86.807644	608.000000
87.255442	589.000000
87.703204	598.000000
88.150931	606.000000
88.598622	591.000000
89.046278	593.000000
89.493900	598.000000
89.941485	604.000000
90.389036	599.000000
90.836552	574.000000
91.284032	583.000000
91.731477	584.000000
92.178887	573.000000
92.626261	577.000000
93.073600	565.000000
93.520905	597.000000
93.968174	588.000000
94.415407	594.000000
94.862606	577.000000
95.309769	576.000000
95.756897	580.000000
96.203990	574.000000
96.651048	582.000000
97.098071	590.000000
97.545058	565.000000
97.992010	568.000000
98.438928	584.000000
98.885809	576.000000
99.332656	590.000000
99.779468	572.000000
100.226244	583.000000
100.672985	583.000000
101.119691	578.000000
101.566362	585.000000
102.012998	585.000000
102.459598	596.000000
102.906164	583.000000
103.352694	569.000000
103.799189	584.000000
104.245649	587.000000
104.692074	591.000000
105.138464	567.000000
105.584818	591.000000
106.031138	591.000000
106.477422	575.000000
106.923671	585.000000
107.369885	592.000000
107.816064	601.000000
108.262208	603.000000
108.708316	585.000000
109.154390	623.000000
109.600428	606.000000
110.046431	618.000000
110.492400	594.000000
110.938333	597.000000
111.384231	618.000000
111.830093	612.000000
112.275921	606.000000
112.721714	608.000000
113.167471	602.000000
113.613194	599.000000
114.058881	605.000000
114.504534	623.000000
114.950151	632.000000
115.395733	612.000000
115.841280	617.000000
116.286792	597.000000
116.732269	616.000000
117.177710	624.000000
117.623117	641.000000
118.068489	633.000000
118.513825	622.000000
118.959127	656.000000
119.404393	619.000000
119.849625	663.000000
120.294821	631.000000
120.739982	659.000000
121.185109	668.000000
121.630200	667.000000
122.075256	676.000000
122.520277	663.000000
122.965263	722.000000
123.410214	685.000000
123.855130	703.000000
124.300011	703.000000
124.744857	699.000000
125.189668	716.000000
125.634444	731.000000
126.079184	742.000000
126.523890	740.000000
126.968561	722.000000
127.413197	724.000000
127.857798	730.000000
128.302363	745.000000
128.746894	732.000000
129.191390	689.000000
129.635850	724.000000
130.080276	717.000000
130.524667	687.000000
130.969023	703.000000
131.413343	683.000000
131.857629	668.000000
132.301880	670.000000
132.746095	664.000000
133.190276	667.000000
133.634422	635.000000
134.078533	634.000000
134.522609	674.000000
134.966649	622.000000
135.410655	638.000000
135.854626	642.000000
136.298562	594.000000
136.742463	635.000000
137.186329	612.000000
137.630160	610.000000
138.073956	621.000000
138.517717	603.000000
138.961443	616.000000
139.405135	601.000000
139.848791	608.000000
140.292412	621.000000
140.735999	604.000000
141.179550	606.000000
141.623067	593.000000
142.066548	617.000000
142.509995	590.000000
142.953406	585.000000
143.396783	603.000000
143.840125	599.000000
144.283432	588.000000
144.726704	611.000000
145.169941	589.000000
145.613143	585.000000
146.056310	581.000000
146.499443	579.000000
146.942540	586.000000
147.385603	581.000000
147.828630	573.000000
148.271623	581.000000
148.714581	575.000000
149.157504	588.000000
149.600392	579.000000
150.043245	571.000000
150.486063	581.000000
150.928847	579.000000
151.371595	591.000000
151.814309	580.000000
152.256987	567.000000
152.699631	559.000000
153.142240	568.000000
153.584814	577.000000
154.027353	586.000000
154.469858	584.000000
154.912327	569.000000
155.354762	571.000000
155.797162	577.000000
156.239527	584.000000
156.681857	574.000000
157.124152	583.000000
157.566412	595.000000
158.008638	588.000000
158.450828	568.000000
158.892984	572.000000
159.335105	570.000000
159.777191	582.000000
160.219242	572.000000
160.661259	579.000000
161.103241	572.000000
161.545187	578.000000
161.987099	592.000000
162.428977	572.000000
162.870819	574.000000
163.312626	568.000000
163.754399	571.000000
164.196137	577.000000
164.637840	572.000000
165.079508	582.000000
165.521142	594.000000
165.962740	575.000000
166.404304	581.000000
166.845833	578.000000
167.287328	571.000000
167.728787	595.000000
168.170212	567.000000
168.611602	574.000000
169.052957	582.000000
169.494277	581.000000
169.935563	575.000000
170.376813	579.000000
170.818029	580.000000
171.259211	578.000000
171.700357	578.000000
172.141469	563.000000
172.582546	580.000000
173.023588	584.000000
173.464595	566.000000
173.905568	575.000000
174.346506	576.000000
174.787409	565.000000
175.228277	591.000000
175.669111	571.000000
176.109910	575.000000
176.550674	597.000000
176.991403	589.000000
177.432098	585.000000
177.872758	572.000000
178.313383	579.000000
178.753973	579.000000
179.194529	577.000000
179.635050	587.000000
180.075536	580.000000
180.515988	590.000000
180.956405	578.000000
181.396787	577.000000
181.837134	578.000000
182.277447	577.000000
182.717725	569.000000
183.157968	565.000000
183.598177	576.000000
184.038350	580.000000
184.478490	580.000000
184.918594	573.000000
185.358664	572.000000
185.798699	576.000000
186.238699	585.000000
186.678665	556.000000
187.118596	579.000000
187.558492	597.000000
187.998354	576.000000
188.438181	579.000000
188.877973	574.000000
189.317731	580.000000
189.757454	581.000000
190.197142	594.000000
190.636796	582.000000
191.076414	583.000000
191.515999	582.000000
191.955548	576.000000
192.395063	582.000000
192.834544	585.000000
193.273989	574.000000
193.713400	579.000000
194.152777	585.000000
194.592118	576.000000
195.031425	583.000000
195.470698	558.000000
195.909936	586.000000
196.349139	569.000000
196.788307	576.000000
197.227441	583.000000
197.666541	572.000000
198.105605	570.000000
198.544635	585.000000
198.983631	583.000000
199.422591	574.000000
199.861518	551.000000
200.300409	580.000000
200.739266	593.000000
201.178089	575.000000
201.616876	577.000000
202.055629	565.000000
202.494348	571.000000
202.933032	584.000000
203.371681	602.000000
203.810296	573.000000
204.248876	583.000000
204.687422	567.000000
205.125933	582.000000
205.564409	575.000000
206.002851	578.000000
206.441258	572.000000
206.879631	578.000000
207.317969	575.000000
207.756273	586.000000
208.194542	603.000000
208.632776	592.000000
209.070976	577.000000
209.509141	586.000000
209.947272	584.000000
210.385368	571.000000
210.823430	582.000000
211.261457	586.000000
211.699449	610.000000
212.137407	579.000000
212.575331	587.000000
213.013220	586.000000
213.451074	582.000000
213.888894	589.000000
214.326679	598.000000
214.764430	602.000000
215.202146	601.000000
215.639828	594.000000
216.077475	624.000000
216.515087	621.000000
216.952666	613.000000
217.390209	597.000000
217.827718	635.000000
218.265193	614.000000
218.702633	642.000000
219.140038	632.000000
219.577410	626.000000
220.014746	626.000000
220.452048	637.000000
220.889316	621.000000
221.326549	645.000000
221.763747	648.000000
222.200911	657.000000
222.638041	671.000000
223.075136	661.000000
223.512197	651.000000
223.949223	646.000000
224.386215	653.000000
224.823172	659.000000
225.260094	648.000000
225.696983	654.000000
226.133836	647.000000
226.570656	629.000000
227.007441	626.000000
227.444191	641.000000
227.880907	627.000000
228.317588	621.000000
228.754235	628.000000
229.190848	625.000000
229.627426	629.000000
230.063970	610.000000
230.500479	620.000000
230.936954	592.000000
231.373394	597.000000
231.809800	593.000000
232.246172	596.000000
232.682509	604.000000
233.118811	597.000000
233.555080	607.000000
233.991313	586.000000
234.427513	601.000000
234.863678	613.000000
235.299808	621.000000
235.735904	601.000000
236.171966	612.000000
236.607993	602.000000
237.043986	606.000000
237.479944	609.000000
237.915869	595.000000
238.351758	601.000000
238.787613	639.000000
239.223434	626.000000
239.659221	649.000000
240.094973	635.000000
240.530691	628.000000
240.966374	659.000000
