wavelength:cm-1,532.143005
X	Y
60.775025	585.000000
61.224870	604.000000
61.674680	595.000000
62.124455	596.000000
62.574194	589.000000
63.023898	595.000000
63.473566	604.000000
63.923199	595.000000
64.372797	584.000000
64.822359	605.000000
65.271886	603.000000
65.721378	584.000000
66.170834	601.000000
66.620255	615.000000
67.069641	607.000000
67.518991	613.000000
67.968306	614.000000
68.417586	606.000000
68.866830	611.000000
69.316039	617.000000
69.765212	628.000000
70.214350	641.000000
70.663453	646.000000
71.112521	623.000000
71.561553	659.000000
72.010550	673.000000
72.459511	680.000000
72.908437	672.000000
73.357328	702.000000
73.806184	703.000000
74.255004	728.000000
74.703789	768.000000
75.152539	782.000000
75.601253	799.000000
76.049932	824.000000
76.498576	863.000000
76.947184	858.000000
77.395757	873.000000
77.844295	897.000000
78.292798	915.000000
78.741265	965.000000
79.189697	945.000000
79.638094	866.000000
80.086455	877.000000
80.534781	874.000000
80.983072	839.000000
81.431328	818.000000
81.879548	785.000000
82.327733	749.000000
82.775883	706.000000
83.223997	678.000000
83.672077	693.000000
84.120121	650.000000
84.568129	648.000000
85.016103	641.000000
85.464041	634.000000
85.911944	634.000000
86.359812	620.000000
86.807644	618.000000
87.255442	609.000000
87.703204	596.000000
88.150931	605.000000
88.598622	603.000000
89.046278	591.000000
89.493900	581.000000
89.941485	593.000000
90.389036	602.000000
90.836552	594.000000
91.284032	590.000000
91.731477	597.000000
92.178887	583.000000
92.626261	584.000000
93.073600	590.000000
93.520905	578.000000
93.968174	575.000000
94.415407	571.000000
94.862606	598.000000
95.309769	606.000000
95.756897	581.000000
96.203990	587.000000
96.651048	576.000000
97.098071	588.000000
97.545058	589.000000
97.992010	587.000000
98.438928	568.000000
98.885809	580.000000
99.332656	579.000000
99.779468	579.000000
100.226244	578.000000
100.672985	608.000000
101.119691	608.000000
101.566362	586.000000
102.012998	578.000000
102.459598	594.000000
102.906164	580.000000
103.352694	591.000000
103.799189	599.000000
104.245649	592.000000
104.692074	604.000000
105.138464	606.000000
105.584818	604.000000
106.031138	590.000000
106.477422	611.000000
106.923671	612.000000
107.369885	617.000000
107.816064	600.000000
108.262208	606.000000
108.708316	613.000000
109.154390	631.000000
109.600428	623.000000
110.046431	618.000000
110.492400	635.000000
110.938333	640.000000
111.384231	635.000000
111.830093	646.000000
112.275921	658.000000
112.721714	645.000000
113.167471	659.000000
113.613194	665.000000
114.058881	641.000000
114.504534	655.000000
114.950151	680.000000
115.395733	638.000000
115.841280	654.000000
116.286792	636.000000
116.732269	642.000000
117.177710	683.000000
117.623117	668.000000
118.068489	621.000000
118.513825	668.000000
118.959127	665.000000
119.404393	669.000000
119.849625	663.000000
120.294821	658.000000
120.739982	689.000000
121.185109	661.000000
121.630200	679.000000
122.075256	688.000000
122.520277	676.000000
122.965263	706.000000
123.410214	689.000000
123.855130	708.000000
124.300011	702.000000
124.744857	728.000000
125.189668	722.000000
125.634444	736.000000
126.079184	717.000000
126.523890	731.000000
126.968561	729.000000
127.413197	740.000000
127.857798	705.000000
128.302363	740.000000
128.746894	705.000000
129.191390	720.000000
129.635850	711.000000
130.080276	701.000000
130.524667	699.000000
130.969023	678.000000
131.413343	675.000000
131.857629	659.000000
132.301880	662.000000
132.746095	676.000000
133.190276	660.000000
133.634422	642.000000
134.078533	650.000000
134.522609	636.000000
134.966649	663.000000
135.410655	630.000000
135.854626	626.000000
136.298562	639.000000
136.742463	636.000000
137.186329	617.000000
137.630160	611.000000
138.073956	602.000000
138.517717	603.000000
138.961443	606.000000
139.405135	612.000000
139.848791	618.000000
140.292412	603.000000
140.735999	601.000000
141.179550	589.000000
141.623067	597.000000
142.066548	597.000000
142.509995	593.000000
142.953406	584.000000
143.396783	609.000000
143.840125	609.000000
144.283432	602.000000
144.726704	600.000000
145.169941	603.000000
145.613143	594.000000
146.056310	588.000000
146.499443	575.000000
146.942540	588.000000
147.385603	583.000000
147.828630	589.000000
148.271623	576.000000
148.714581	596.000000
149.157504	588.000000
149.600392	585.000000
150.043245	588.000000
150.486063	572.000000
150.928847	588.000000
151.371595	578.000000
151.814309	579.000000
152.256987	573.000000
152.699631	584.000000
153.142240	589.000000
153.584814	581.000000
154.027353	577.000000
154.469858	570.000000
154.912327	577.000000
155.354762	586.000000
155.797162	573.000000
156.239527	602.000000
156.681857	563.000000
157.124152	579.000000
157.566412	594.000000
158.008638	577.000000
158.450828	581.000000
158.892984	579.000000
159.335105	575.000000
159.777191	573.000000
160.219242	576.000000
160.661259	571.000000
161.103241	593.000000
161.545187	577.000000
161.987099	565.000000
162.428977	577.000000
162.870819	573.000000
163.312626	575.000000
163.754399	584.000000
164.196137	571.000000
164.637840	563.000000
165.079508	585.000000
165.521142	569.000000
165.962740	572.000000
166.404304	583.000000
166.845833	580.000000
167.287328	572.000000
167.728787	577.000000
168.170212	562.000000
168.611602	572.000000
169.052957	556.000000
169.494277	568.000000
169.935563	582.000000
170.376813	581.000000
170.818029	563.000000
171.259211	583.000000
171.700357	574.000000
172.141469	582.000000
172.582546	570.000000
173.023588	559.000000
173.464595	577.000000
173.905568	564.000000
174.346506	569.000000
174.787409	567.000000
175.228277	567.000000
175.669111	565.000000
176.109910	578.000000
176.550674	569.000000
176.991403	574.000000
177.432098	573.000000
177.872758	590.000000
178.313383	567.000000
178.753973	586.000000
179.194529	583.000000
179.635050	572.000000
