wavelength:cm-1,532.143005
X	Y
60.775025	605.000000
61.224870	607.000000
61.674680	605.000000
62.124455	606.000000
62.574194	602.000000
63.023898	619.000000
63.473566	611.000000
63.923199	595.000000
64.372797	595.000000
64.822359	629.000000
65.271886	606.000000
65.721378	615.000000
66.170834	618.000000
66.620255	604.000000
67.069641	615.000000
67.518991	626.000000
67.968306	618.000000
68.417586	607.000000
68.866830	633.000000
69.316039	613.000000
69.765212	634.000000
70.214350	642.000000
70.663453	654.000000
71.112521	656.000000
71.561553	651.000000
72.010550	673.000000
72.459511	673.000000
72.908437	698.000000
73.357328	691.000000
73.806184	727.000000
74.255004	764.000000
74.703789	790.000000
75.152539	820.000000
75.601253	863.000000
76.049932	852.000000
76.498576	902.000000
76.947184	892.000000
77.395757	922.000000
77.844295	939.000000
78.292798	984.000000
78.741265	980.000000
79.189697	955.000000
79.638094	972.000000
80.086455	907.000000
80.534781	877.000000
80.983072	849.000000
81.431328	845.000000
81.879548	828.000000
82.327733	764.000000
82.775883	736.000000
83.223997	715.000000
83.672077	677.000000
84.120121	649.000000
84.568129	661.000000
85.016103	659.000000
85.464041	621.000000
85.911944	627.000000
86.359812	620.000000
86.807644	631.000000
87.255442	613.000000
87.703204	611.000000
88.150931	617.000000
88.598622	616.000000
89.046278	600.000000
89.493900	614.000000
89.941485	589.000000
90.389036	591.000000
90.836552	594.000000
91.284032	590.000000
91.731477	581.000000
92.178887	591.000000
92.626261	596.000000
93.073600	590.000000
93.520905	600.000000
93.968174	599.000000
94.415407	589.000000
94.862606	584.000000
95.309769	613.000000
95.756897	593.000000
96.203990	598.000000
96.651048	599.000000
97.098071	589.000000
97.545058	594.000000
97.992010	592.000000
98.438928	588.000000
98.885809	600.000000
99.332656	602.000000
99.779468	576.000000
100.226244	604.000000
100.672985	593.000000
101.119691	600.000000
101.566362	611.000000
102.012998	606.000000
102.459598	592.000000
102.906164	590.000000
103.352694	599.000000
103.799189	585.000000
104.245649	621.000000
104.692074	592.000000
105.138464	608.000000
105.584818	624.000000
106.031138	622.000000
106.477422	620.000000
106.923671	625.000000
107.369885	630.000000
107.816064	633.000000
108.262208	609.000000
108.708316	632.000000
109.154390	644.000000
109.600428	632.000000
110.046431	635.000000
110.492400	637.000000
110.938333	644.000000
111.384231	644.000000
111.830093	641.000000
112.275921	662.000000
112.721714	664.000000
113.167471	642.000000
113.613194	650.000000
114.058881	645.000000
114.504534	645.000000
114.950151	637.000000
115.395733	667.000000
115.841280	683.000000
116.286792	649.000000
116.732269	661.000000
117.177710	664.000000
117.623117	670.000000
118.068489	668.000000
118.513825	691.000000
118.959127	664.000000
119.404393	694.000000
119.849625	689.000000
120.294821	678.000000
120.739982	703.000000
121.185109	677.000000
121.630200	710.000000
122.075256	679.000000
122.520277	718.000000
122.965263	699.000000
123.410214	716.000000
123.855130	728.000000
124.300011	751.000000
124.744857	738.000000
125.189668	747.000000
125.634444	740.000000
126.079184	759.000000
126.523890	734.000000
126.968561	760.000000
127.413197	741.000000
127.857798	755.000000
128.302363	732.000000
128.746894	727.000000
129.191390	735.000000
129.635850	736.000000
130.080276	735.000000
130.524667	742.000000
130.969023	724.000000
131.413343	708.000000
131.857629	702.000000
132.301880	698.000000
132.746095	691.000000
133.190276	679.000000
133.634422	678.000000
134.078533	675.000000
134.522609	667.000000
134.966649	655.000000
135.410655	656.000000
135.854626	655.000000
136.298562	648.000000
136.742463	654.000000
137.186329	641.000000
137.630160	635.000000
138.073956	641.000000
138.517717	637.000000
138.961443	619.000000
139.405135	620.000000
139.848791	618.000000
140.292412	611.000000
140.735999	620.000000
141.179550	614.000000
141.623067	606.000000
142.066548	612.000000
142.509995	596.000000
142.953406	619.000000
143.396783	595.000000
143.840125	599.000000
144.283432	596.000000
144.726704	609.000000
145.169941	574.000000
145.613143	599.000000
146.056310	593.000000
146.499443	615.000000
146.942540	599.000000
147.385603	607.000000
147.828630	603.000000
148.271623	588.000000
148.714581	585.000000
149.157504	590.000000
149.600392	610.000000
150.043245	578.000000
150.486063	596.000000
150.928847	593.000000
151.371595	599.000000
151.814309	585.000000
152.256987	615.000000
152.699631	585.000000
153.142240	594.000000
153.584814	584.000000
154.027353	605.000000
154.469858	604.000000
154.912327	583.000000
155.354762	597.000000
155.797162	581.000000
156.239527	597.000000
156.681857	585.000000
157.124152	592.000000
157.566412	538.000000
158.008638	586.000000
158.450828	591.000000
158.892984	602.000000
159.335105	609.000000
159.777191	594.000000
160.219242	581.000000
160.661259	583.000000
161.103241	579.000000
161.545187	574.000000
161.987099	586.000000
162.428977	609.000000
162.870819	606.000000
163.312626	595.000000
163.754399	589.000000
164.196137	590.000000
164.637840	583.000000
165.079508	584.000000
165.521142	587.000000
165.962740	583.000000
166.404304	597.000000
166.845833	587.000000
167.287328	589.000000
167.728787	560.000000
168.170212	569.000000
168.611602	592.000000
169.052957	585.000000
169.494277	580.000000
169.935563	581.000000
170.376813	606.000000
170.818029	584.000000
171.259211	583.000000
171.700357	609.000000
172.141469	596.000000
172.582546	583.000000
173.023588	608.000000
173.464595	584.000000
173.905568	595.000000
174.346506	596.000000
174.787409	584.000000
175.228277	599.000000
175.669111	590.000000
176.109910	589.000000
176.550674	572.000000
176.991403	593.000000
177.432098	607.000000
177.872758	590.000000
178.313383	594.000000
178.753973	597.000000
179.194529	597.000000
179.635050	578.000000
180.075536	588.000000
180.515988	590.000000
180.956405	597.000000
181.396787	583.000000
181.837134	585.000000
182.277447	578.000000
182.717725	587.000000
183.157968	584.000000
183.598177	602.000000
184.038350	607.000000
