2380 f  =    0.369507 THz     2.321684 2PiTHz   12.325443 cm-1     1.528159 meV
             X         Y         Z           dx          dy          dz
     11.812636  7.816591  2.170310     0.001624    0.000386    0.018272
     11.806260  7.811415  5.328280    -0.000545    0.000233    0.018389
     14.527802  6.250701  2.172508     0.001212   -0.000419    0.019877
     14.525178  6.246551  5.329592    -0.000471    0.000462    0.020088
     17.243860  4.683444  2.171582     0.000573   -0.000981    0.021455
     17.245420  4.681218  5.327101    -0.000303    0.000530    0.021695
     19.962550  3.114254  2.169050    -0.000197   -0.001089    0.022452
     19.965183  3.114416  5.323658     0.000007    0.000424    0.022702
     22.682439  1.543845  2.167900    -0.000857   -0.000706    0.022440
     22.683148  1.545308  5.322529     0.000370    0.000215    0.022690
     25.400960 -0.026068  2.168549    -0.001142    0.000013    0.021426
     25.399610 -0.026252  5.324057     0.000611    0.000003    0.021665
     28.116534 -1.594982  2.168571    -0.000967    0.000844    0.019847
     28.114776 -1.599293  5.325538     0.000632   -0.000171    0.020057
      0.952516 17.223810  2.171725    -0.000490    0.000009    0.019166
      0.950984 17.223780  5.329246     0.000486    0.000001    0.019384
      3.665951 15.654825  2.172205     0.000045    0.000751    0.018715
      3.664951 15.651806  5.329750     0.000226   -0.000179    0.018868
      6.381060 14.085794  2.171970     0.000505    0.001128    0.018473
      6.379045 14.082374  5.329125    -0.000035   -0.000284    0.018587
      9.097646 12.517162  2.172839     0.000736    0.000995    0.018479
      9.094111 12.514851  5.330216    -0.000227   -0.000174    0.018593
     11.814054 10.950561  2.174908     0.000637    0.000409    0.018730
     11.810890 10.949138  5.332525    -0.000266    0.000107    0.018883
     14.529305  9.385092  2.175429     0.000257   -0.000430    0.019189
     14.529655  9.384213  5.333131    -0.000239    0.000425    0.019407
     17.244477  7.819496  2.172614    -0.000231   -0.001255    0.019880
     17.249584  7.819605  5.329352    -0.000158    0.000642    0.020091
     19.961879  6.252036  2.167581    -0.000737   -0.001816    0.020499
     19.968519  6.254299  5.323457     0.000042    0.000681    0.020704
     22.681184  4.682649  2.164448    -0.001115   -0.001921    0.020746
     22.685386  4.687591  5.319833     0.000330    0.000560    0.020948
     25.400092  3.112278  2.165235    -0.001207   -0.001539    0.020481
     25.400458  3.118345  5.321158     0.000573    0.000368    0.020687
     28.116476  1.542473  2.168724    -0.000965   -0.000822    0.019855
     28.114847  1.546620  5.325656     0.000634    0.000176    0.020067
      0.952619 20.361116  2.166649    -0.000468   -0.001582    0.018270
      0.950627 20.368879  5.324753     0.000473    0.000348    0.018387
      3.665924 18.792525  2.172161     0.000047   -0.000740    0.018721
      3.665036 18.795715  5.329684     0.000229    0.000178    0.018874
      6.380585 17.223818  2.174604     0.000319    0.000002    0.019262
      6.380273 17.224028  5.331187     0.000026    0.000001    0.019406
      9.097696 15.654308  2.175604     0.000238    0.000395    0.019503
      9.096655 15.654177  5.331653    -0.000047   -0.000087    0.019646
     11.815165 14.086029  2.176096    -0.000145    0.000268    0.019271
     11.814317 14.086861  5.332874    -0.000004    0.000022    0.019415
     14.531147 12.519436  2.175061    -0.000657   -0.000341    0.018732
     14.533622 12.521129  5.332798     0.000054    0.000290    0.018885
     17.245754 10.953965  2.170441    -0.001133   -0.001211    0.018275
     17.253516 10.956495  5.328429     0.000082    0.000592    0.018393
     19.961927  9.387808  2.163236    -0.001473   -0.002057    0.018018
     19.972291  9.391990  5.320782     0.000179    0.000784    0.018107
     22.679882  7.819906  2.157236    -0.001627   -0.002642    0.017932
     22.688420  7.826932  5.314292     0.000353    0.000809    0.017987
     25.398589  6.250359  2.155872    -0.001471   -0.002728    0.017930
     25.402312  6.260047  5.313176     0.000530    0.000700    0.017984
     28.115705  4.680344  2.159944    -0.001034   -0.002299    0.018014
     28.115314  4.690612  5.317697     0.000590    0.000531    0.018102
      0.952498 23.498711  2.154234    -0.000325   -0.002716    0.015638
      0.949705 23.510396  5.313667     0.000401    0.000645    0.015608
      3.666644 21.929787  2.163987     0.000276   -0.001958    0.017009
